<><><><><><><><> 
Begin: 13-Mar-2014 10:57:04 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s37 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.477 2.477 
0.348 1.319 1.319 
0.484 2.007 2.007 
0.250 1.422 1.422 
0.617 1.995 1.995 
0.467 1.728 1.728 
0.350 1.810 1.810 
0.367 1.544 1.544 
0.934 1.553 1.553 
0.750 3.285 3.285 
0.583 1.742 1.742 
0.934 1.232 1.232 
0.284 1.171 1.171 
0.800 1.674 1.674 
0.800 2.951 2.951 
0.651 1.346 1.346 
0.351 1.237 1.237 
0.684 1.294 1.294 
0.451 1.664 1.664 
0.317 1.248 1.248 
0.367 2.815 2.815 
0.917 1.788 1.788 
0.267 2.110 2.110 
0.400 1.941 1.941 
0.250 1.314 1.314 
0.550 2.344 2.344 
0.217 3.395 3.395 
0.918 2.842 2.842 
0.367 2.079 2.079 
0.283 1.112 1.112 
0.451 1.746 1.746 
0.567 0.887 0.887 
0.282 2.028 2.028 
1.000 1.498 1.498 
0.466 1.637 1.637 
0.434 1.074 1.074 
0.250 3.157 3.157 
0.435 1.270 1.270 
0.233 1.684 1.684 
0.601 1.590 1.590 
0.817 3.216 3.216 
0.700 1.882 1.882 
0.267 2.402 2.402 
0.267 0.970 0.970 
0.834 1.689 1.689 
0.934 2.316 2.316 
0.635 1.235 1.235 
0.283 1.536 1.536 
0.868 3.278 3.278 
0.468 2.326 2.326 
0.435 2.760 2.760 
0.801 1.835 1.835 
0.217 2.996 2.996 
0.250 2.617 2.617 
0.734 2.305 2.305 
0.685 3.998 4.329 
0.617 2.037 2.037 
0.784 1.188 1.188 
0.768 1.727 1.727 
0.834 1.692 1.692 
0.433 2.486 2.486 
0.750 2.557 2.557 
0.651 1.986 1.986 
0.517 2.920 2.920 
0.250 1.324 1.324 
0.834 1.477 1.477 
0.467 1.857 1.857 
0.685 1.364 1.364 
0.801 2.436 2.436 
0.284 2.899 2.899 
0.300 0.941 0.941 
0.650 2.318 2.318 
0.584 2.493 2.493 
0.918 1.389 1.389 
0.851 1.216 1.216 
0.783 2.236 2.236 
0.250 2.644 2.644 
0.267 0.765 0.765 
0.266 2.360 2.360 
0.850 1.127 1.127 
0.952 2.064 2.064 
0.751 1.535 1.535 
0.317 2.805 2.805 
0.784 1.588 1.588 
0.284 1.743 1.743 
0.301 2.135 2.135 
0.718 1.342 1.342 
0.467 0.891 0.891 
0.733 2.389 2.389 
0.801 2.839 2.839 
0.667 2.279 2.279 
0.800 0.968 0.968 
0.383 1.878 1.878 
0.784 1.505 1.505 
0.984 1.114 1.114 
0.901 2.067 2.067 
0.268 3.068 3.068 
0.500 3.111 3.111 
0.501 1.159 1.159 
0.751 1.624 1.624 
0.685 1.573 1.573 
0.835 0.925 0.925 
0.500 2.509 2.509 
0.367 1.468 1.468 
0.268 1.289 1.289 
0.817 1.803 1.803 
0.367 0.778 0.778 
0.517 0.768 0.768 
0.651 1.896 1.896 
0.384 1.583 1.583 
0.717 1.360 1.360 
