<><><><><><><><> 
Begin: 27-Jan-2014 11:49:50 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s07 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.058 1.058 
0.467 1.728 1.728 
0.984 1.521 1.521 
0.501 1.795 1.795 
0.551 1.816 1.816 
0.683 2.529 2.529 
0.518 2.681 2.681 
0.367 0.898 0.898 
0.717 1.313 1.313 
0.684 0.646 0.646 
0.801 1.860 1.860 
0.667 0.667 0.667 
0.733 1.784 1.784 
0.284 2.068 2.068 
0.502 0.940 0.940 
0.483 1.981 1.981 
0.751 1.892 1.892 
0.985 1.105 1.105 
0.683 1.467 1.467 
0.851 0.634 0.634 
0.551 1.181 1.181 
0.752 1.357 1.357 
0.800 0.700 0.700 
0.819 0.689 0.689 
0.217 1.520 1.520 
0.868 1.631 1.631 
0.718 1.291 1.291 
0.300 1.007 1.007 
0.517 0.897 0.897 
1.001 1.367 1.367 
0.934 2.188 2.188 
0.734 1.291 1.291 
0.635 0.909 0.909 
0.667 0.558 0.558 
0.717 3.359 3.359 
0.868 1.685 1.685 
0.535 1.148 1.148 
1.001 1.893 1.893 
0.285 1.959 1.959 
0.716 1.903 1.903 
0.584 2.111 2.111 
0.884 2.243 2.243 
0.784 1.873 1.873 
0.868 1.138 1.138 
0.666 0.953 0.953 
0.400 1.905 1.905 
0.368 2.563 2.563 
0.785 2.934 2.934 
0.401 2.363 2.363 
0.752 0.986 0.986 
0.983 0.963 0.963 
0.834 2.713 2.713 
0.884 1.914 1.914 
0.784 2.155 2.155 
0.268 2.265 2.265 
0.734 1.313 1.313 
0.400 0.719 0.719 
0.434 1.907 1.907 
0.434 0.919 0.919 
0.517 0.788 0.788 
0.884 2.144 2.144 
0.702 1.401 1.401 
0.251 1.477 1.477 
0.285 2.724 2.724 
0.583 1.499 1.499 
0.767 2.146 2.146 
0.952 1.095 1.095 
0.317 0.811 0.811 
0.734 0.438 0.438 
0.800 2.671 2.671 
0.435 1.019 1.019 
0.567 0.821 0.821 
0.801 2.189 2.189 
0.468 1.203 1.203 
0.567 1.664 1.664 
0.267 1.718 1.718 
0.852 1.378 1.378 
0.499 1.871 1.871 
0.349 0.886 0.886 
0.602 2.462 2.462 
0.733 0.722 0.722 
0.383 0.985 0.985 
0.652 1.028 1.028 
0.851 2.813 2.813 
0.933 2.221 2.221 
0.734 0.787 0.787 
0.768 2.287 2.287 
0.969 1.347 1.347 
0.801 1.007 1.007 
0.267 1.324 1.324 
0.766 1.346 1.346 
0.702 1.204 1.204 
0.385 1.827 1.827 
0.200 1.651 1.651 
0.334 1.291 1.291 
0.535 0.788 0.788 
0.367 0.744 0.744 
0.900 0.570 0.570 
0.752 1.456 1.456 
0.435 1.969 1.969 
0.567 0.941 0.941 
0.551 2.548 2.548 
0.602 2.439 2.439 
0.635 0.820 0.820 
0.300 0.755 0.755 
0.635 0.591 0.591 
0.534 1.050 1.050 
0.468 1.829 1.829 
0.602 0.820 0.820 
0.667 2.002 2.002 
0.384 1.510 1.510 
