<><><><><><><><> 
Begin: 27-Jan-2014 11:35:36 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s07 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.999 1.378 1.378 
0.466 1.367 1.367 
0.985 2.255 2.255 
0.499 1.618 1.618 
0.566 2.342 2.342 
0.668 2.012 2.012 
0.517 2.176 2.176 
0.367 1.380 1.380 
0.716 1.215 1.215 
0.684 3.372 3.372 
0.802 3.449 3.449 
0.666 1.708 1.708 
0.735 1.544 1.544 
0.284 1.217 1.217 
0.502 3.502 3.502 
0.484 2.069 2.069 
0.751 1.324 1.324 
0.985 3.022 3.022 
0.684 3.129 3.129 
0.851 1.368 1.368 
0.551 0.755 0.755 
0.751 2.024 2.024 
0.801 1.400 1.400 
0.816 2.581 2.581 
0.216 1.838 1.838 
0.868 2.791 2.791 
0.717 2.537 2.537 
0.300 3.621 3.621 
0.516 1.390 1.390 
1.002 1.226 1.226 
0.935 2.604 2.604 
0.734 0.897 0.897 
0.633 2.975 2.975 
0.668 1.050 1.050 
0.719 2.680 2.680 
0.869 1.083 1.083 
0.535 0.765 0.765 
1.001 0.918 0.918 
0.284 1.465 1.465 
0.717 3.491 3.491 
0.600 3.502 3.502 
0.884 1.652 1.652 
0.785 1.324 1.324 
0.867 2.290 2.290 
0.669 1.282 1.282 
0.400 1.248 1.248 
0.383 1.545 1.545 
0.784 1.565 1.565 
0.401 2.363 2.363 
0.752 3.348 3.348 
0.984 1.192 1.192 
0.851 2.659 2.659 
0.884 1.400 1.400 
0.785 1.575 1.575 
0.267 2.035 2.035 
0.735 1.532 1.532 
0.399 2.801 2.801 
0.434 1.424 1.424 
0.434 2.702 2.702 
0.518 1.806 1.806 
0.883 2.223 2.223 
0.702 0.722 0.722 
0.251 1.238 1.238 
0.282 1.402 1.402 
0.584 1.073 1.073 
0.767 2.968 2.968 
0.952 2.484 2.484 
0.318 1.642 1.642 
0.733 3.993 4.125 
0.800 1.072 1.072 
0.450 2.505 2.505 
0.568 1.455 1.455 
0.801 1.957 1.957 
0.467 0.908 0.908 
0.567 1.062 1.062 
0.268 0.810 0.810 
0.851 2.177 2.177 
0.502 0.985 0.985 
0.350 2.360 2.360 
0.601 2.135 2.135 
0.734 0.657 0.657 
0.385 2.790 2.790 
0.651 1.367 1.367 
0.851 0.722 0.722 
0.934 2.516 2.516 
0.734 2.330 2.330 
0.769 2.695 2.695 
0.968 0.975 0.975 
0.801 3.087 3.087 
0.267 1.258 1.258 
0.768 1.226 1.226 
0.702 1.116 1.116 
0.384 1.389 1.389 
0.201 1.827 1.827 
0.333 0.864 0.864 
0.533 1.128 1.128 
0.368 0.712 0.712 
0.901 1.806 1.806 
0.750 1.051 1.051 
0.435 2.735 2.735 
0.568 1.806 1.806 
0.550 1.347 1.347 
0.600 0.800 0.800 
0.634 3.495 3.495 
0.300 2.286 2.286 
0.633 3.392 3.392 
0.534 1.783 1.783 
0.467 0.920 0.920 
0.601 2.660 2.660 
0.667 1.568 1.568 
0.385 1.085 1.085 
