<><><><><><><><> 
Begin: 03-Mar-2014 13:35:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s25 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.534 1.534 
0.349 1.629 1.629 
0.485 0.700 0.700 
0.250 0.677 0.677 
0.617 2.598 2.598 
0.467 3.950 3.950 
0.350 2.186 2.186 
0.367 0.936 0.936 
0.934 0.900 0.900 
0.751 3.899 3.899 
0.583 1.929 1.929 
0.935 2.539 2.539 
0.285 1.981 1.981 
0.801 2.123 2.123 
0.800 1.241 1.241 
0.651 1.141 1.141 
0.351 1.660 1.660 
0.684 3.060 3.060 
0.451 3.747 3.747 
0.317 1.044 1.044 
0.368 1.513 1.513 
0.917 3.011 3.011 
0.267 1.558 1.558 
0.400 0.918 0.918 
0.250 3.994 4.194 
0.551 3.835 3.835 
0.218 2.553 2.553 
0.918 1.812 1.812 
0.367 3.083 3.083 
0.283 0.966 0.966 
0.450 1.736 1.736 
0.567 1.220 1.220 
0.283 3.675 3.675 
1.001 2.984 2.984 
0.467 2.795 2.795 
0.434 2.673 2.673 
0.250 0.771 0.771 
0.450 1.309 1.309 
0.234 0.920 0.920 
0.601 1.417 1.417 
0.817 1.615 1.615 
0.716 1.116 1.116 
0.283 1.664 1.664 
0.267 0.945 0.945 
0.834 0.838 0.838 
0.934 3.567 3.567 
0.634 1.246 1.246 
0.283 1.938 1.938 
0.868 1.275 1.275 
0.468 0.650 0.650 
0.434 1.388 1.388 
0.801 2.085 2.085 
0.217 0.012 0.012 
0.250 1.943 1.943 
0.735 1.293 1.293 
0.685 1.771 1.771 
0.617 1.190 1.190 
0.784 1.181 1.181 
0.768 0.925 0.925 
0.834 1.049 1.049 
0.434 0.782 0.782 
0.751 0.945 0.945 
0.651 1.361 1.361 
0.518 0.933 0.933 
0.251 1.574 1.574 
0.833 1.135 1.135 
0.468 1.484 1.484 
0.685 1.560 1.560 
0.801 1.732 1.732 
0.284 1.795 1.795 
0.300 2.263 2.263 
0.650 1.002 1.002 
0.585 1.334 1.334 
0.918 0.987 0.987 
0.850 1.140 1.140 
0.784 0.720 0.720 
0.250 0.927 0.927 
0.267 0.668 0.668 
0.267 1.307 1.307 
0.834 1.648 1.648 
0.951 2.447 2.447 
0.751 0.837 0.837 
0.317 1.874 1.874 
0.785 2.078 2.078 
0.300 2.344 2.344 
0.300 0.852 0.852 
0.717 2.182 2.182 
0.467 2.255 2.255 
0.734 1.368 1.368 
0.801 0.839 0.839 
0.667 1.862 1.862 
0.801 1.398 1.398 
0.384 0.971 0.971 
0.784 0.919 0.919 
0.984 0.874 0.874 
0.901 1.029 1.029 
0.267 0.916 0.916 
0.501 0.709 0.709 
0.500 1.105 1.105 
0.750 0.644 0.644 
0.685 1.453 1.453 
0.835 2.422 2.422 
0.501 1.114 1.114 
0.367 1.094 1.094 
0.267 1.575 1.575 
0.817 1.948 1.948 
0.367 1.627 1.627 
0.517 1.671 1.671 
0.651 3.993 4.335 
0.385 1.173 1.173 
0.717 1.050 1.050 
