<><><><><><><><> 
Begin: 26-Feb-2014 12:45:09 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s20 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.598 0.598 
0.350 0.686 0.686 
0.483 0.803 0.803 
0.251 0.775 0.775 
0.617 0.831 0.831 
0.468 0.526 0.526 
0.350 0.851 0.851 
0.366 1.113 1.113 
0.934 1.166 1.166 
0.751 0.942 0.942 
0.584 0.979 0.979 
0.935 1.807 1.807 
0.284 1.273 1.273 
0.801 1.915 1.915 
0.800 0.990 0.990 
0.652 0.737 0.737 
0.350 0.541 0.541 
0.685 0.529 0.529 
0.450 1.441 1.441 
0.317 1.542 1.542 
0.366 0.900 0.900 
0.918 0.617 0.617 
0.267 0.949 0.949 
0.400 1.985 1.985 
0.250 1.641 1.641 
0.550 1.138 1.138 
0.217 1.082 1.082 
0.918 0.553 0.553 
0.366 0.803 0.803 
0.283 1.152 1.152 
0.450 0.767 0.767 
0.568 0.894 0.894 
0.284 1.843 1.843 
1.002 0.785 0.785 
0.467 1.621 1.621 
0.434 1.284 1.284 
0.250 1.460 1.460 
0.450 1.215 1.215 
0.233 1.340 1.340 
0.600 2.239 2.239 
0.818 1.142 1.142 
0.701 1.182 1.182 
0.267 1.536 1.536 
0.268 1.273 1.273 
0.817 1.432 1.432 
0.934 1.406 1.406 
0.635 1.054 1.054 
0.285 0.628 0.628 
0.867 0.711 0.711 
0.468 1.259 1.259 
0.434 2.130 2.130 
0.801 0.949 0.949 
0.217 1.791 1.791 
0.249 1.376 1.376 
0.735 0.980 0.980 
0.684 0.806 0.806 
0.617 1.085 1.085 
0.785 1.610 1.610 
0.767 1.273 1.273 
0.834 0.745 0.745 
0.434 0.963 0.963 
0.750 0.792 0.792 
0.651 0.963 0.963 
0.518 0.948 0.948 
0.250 1.385 1.385 
0.834 0.925 0.925 
0.468 1.701 1.701 
0.684 1.128 1.128 
0.801 1.468 1.468 
0.284 0.884 0.884 
0.301 1.342 1.342 
0.650 1.448 1.448 
0.600 1.646 1.646 
0.918 1.893 1.893 
0.851 0.720 0.720 
0.783 0.766 0.766 
0.250 1.217 1.217 
0.267 0.930 0.930 
0.267 1.264 1.264 
0.834 1.152 1.152 
0.951 0.527 0.527 
0.751 1.067 1.067 
0.316 1.447 1.447 
0.784 1.061 1.061 
0.300 0.761 0.761 
0.300 0.854 0.854 
0.718 1.154 1.154 
0.467 1.010 1.010 
0.734 1.549 1.549 
0.800 0.617 0.617 
0.668 0.878 0.878 
0.801 1.010 1.010 
0.384 0.975 0.975 
0.784 1.109 1.109 
0.984 1.416 1.416 
0.901 1.070 1.070 
0.266 1.798 1.798 
0.501 1.734 1.734 
0.501 1.250 1.250 
0.751 1.327 1.327 
0.685 1.568 1.568 
0.835 0.934 0.934 
0.501 1.545 1.545 
0.367 0.963 0.963 
0.267 1.592 1.592 
0.818 0.844 0.844 
0.368 0.627 0.627 
0.517 1.297 1.297 
0.651 1.228 1.228 
0.384 0.107 0.107 
0.717 1.527 1.527 
