<><><><><><><><> 
Begin: 26-Feb-2014 12:36:13 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s20 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.330 1.330 
0.349 0.960 0.960 
0.484 0.772 0.772 
0.251 0.638 0.638 
0.617 0.988 0.988 
0.467 1.250 1.250 
0.350 0.933 0.933 
0.367 0.948 0.948 
0.934 1.190 1.190 
0.750 0.758 0.758 
0.583 0.579 0.579 
0.935 1.082 1.082 
0.284 0.829 0.829 
0.801 0.889 0.889 
0.784 0.963 0.963 
0.651 0.872 0.872 
0.350 1.343 1.343 
0.683 1.189 1.189 
0.451 1.089 1.089 
0.317 0.923 0.923 
0.366 0.739 0.739 
0.918 0.895 0.895 
0.267 0.696 0.696 
0.401 1.170 1.170 
0.251 1.099 1.099 
0.551 0.900 0.900 
0.218 0.738 0.738 
0.919 1.453 1.453 
0.367 1.063 1.063 
0.283 0.959 0.959 
0.450 0.897 0.897 
0.568 1.087 1.087 
0.284 1.101 1.101 
1.002 0.779 0.779 
0.468 0.955 0.955 
0.434 0.924 0.924 
0.250 0.827 0.827 
0.434 0.948 0.948 
0.234 0.645 0.645 
0.601 0.627 0.627 
0.817 1.228 1.228 
0.701 0.735 0.735 
0.284 1.402 1.402 
0.266 1.077 1.077 
0.817 1.547 1.547 
0.934 0.808 0.808 
0.634 1.018 1.018 
0.284 1.187 1.187 
0.867 1.494 1.494 
0.467 1.037 1.037 
0.434 0.767 0.767 
0.802 0.692 0.692 
0.216 1.464 1.464 
0.250 0.905 0.905 
0.734 0.553 0.553 
0.684 1.296 1.296 
0.617 1.415 1.415 
0.784 0.878 0.878 
0.768 0.548 0.548 
0.834 1.040 1.040 
0.434 0.686 0.686 
0.750 1.189 1.189 
0.651 0.675 0.675 
0.517 0.861 0.861 
0.250 0.854 0.854 
0.834 1.210 1.210 
0.468 0.570 0.570 
0.684 1.261 1.261 
0.800 1.660 1.660 
0.284 1.646 1.646 
0.300 1.449 1.449 
0.649 0.764 0.764 
0.584 1.744 1.744 
0.918 0.831 0.831 
0.850 1.380 1.380 
0.785 0.944 0.944 
0.250 0.012 0.012 
0.267 0.791 0.791 
0.284 1.010 1.010 
0.834 1.192 1.192 
0.951 0.743 0.743 
0.750 1.114 1.114 
0.316 0.879 0.879 
0.784 0.829 0.829 
0.300 1.394 1.394 
0.301 1.114 1.114 
0.718 1.704 1.704 
0.467 1.511 1.511 
0.734 1.144 1.144 
0.801 1.365 1.365 
0.667 0.781 0.781 
0.800 0.852 0.852 
0.384 1.036 1.036 
0.784 1.382 1.382 
0.984 0.681 0.681 
0.900 0.632 0.632 
0.267 1.197 1.197 
0.500 0.775 0.775 
0.501 1.273 1.273 
0.751 0.823 0.823 
0.684 0.670 0.670 
0.835 1.318 1.318 
0.500 1.228 1.228 
0.367 1.419 1.419 
0.268 1.128 1.128 
0.818 1.615 1.615 
0.367 0.997 0.997 
0.517 0.867 0.867 
0.651 0.886 0.886 
0.384 1.324 1.324 
0.718 1.473 1.473 
