<><><><><><><><> 
Begin: 12-Dec-2013 19:17:37 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s01 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.839 0.839 
0.349 0.813 0.813 
0.484 0.756 0.756 
0.251 0.757 0.757 
0.618 0.601 0.601 
0.467 0.824 0.824 
0.349 0.991 0.991 
0.367 0.991 0.991 
0.934 0.868 0.868 
0.735 0.701 0.701 
0.584 0.746 0.746 
0.934 0.902 0.902 
0.284 1.059 1.059 
0.802 0.734 0.734 
0.785 0.735 0.735 
0.650 0.924 0.924 
0.351 0.824 0.824 
0.685 0.780 0.780 
0.434 1.602 1.602 
0.317 0.980 0.980 
0.367 0.568 0.568 
0.918 0.846 0.846 
0.267 0.991 0.991 
0.401 0.868 0.868 
0.250 1.237 1.237 
0.551 1.180 1.180 
0.216 1.081 1.081 
0.918 0.557 0.557 
0.366 0.768 0.768 
0.284 0.924 0.924 
0.449 0.802 0.802 
0.567 0.657 0.657 
0.285 1.615 1.615 
1.002 0.811 0.811 
0.467 1.346 1.346 
0.435 0.667 0.667 
0.250 1.003 1.003 
0.434 0.712 0.712 
0.235 0.669 0.669 
0.601 0.802 0.802 
0.818 0.835 0.835 
0.701 0.679 0.679 
0.266 0.824 0.824 
0.266 0.601 0.601 
0.818 0.635 0.635 
0.934 0.835 0.835 
0.635 0.847 0.847 
0.283 0.991 0.991 
0.868 0.635 0.635 
0.467 0.568 0.568 
0.434 0.936 0.936 
0.800 0.723 0.723 
0.217 0.835 0.835 
0.235 1.003 1.003 
0.734 0.980 0.980 
0.683 0.845 0.845 
0.617 0.813 0.813 
0.784 1.413 1.413 
0.768 0.735 0.735 
0.834 0.646 0.646 
0.433 0.768 0.768 
0.752 1.234 1.234 
0.651 0.868 0.868 
0.517 1.303 1.303 
0.250 1.069 1.069 
0.834 0.668 0.668 
0.468 0.856 0.856 
0.685 1.292 1.292 
0.801 0.979 0.979 
0.284 0.902 0.902 
0.299 0.757 0.757 
0.634 0.868 0.868 
0.584 0.724 0.724 
0.919 0.791 0.791 
0.834 0.656 0.656 
0.783 1.247 1.247 
0.249 1.081 1.081 
0.266 1.391 1.391 
0.268 0.858 0.858 
0.835 0.590 0.590 
0.951 0.668 0.668 
0.751 0.657 0.657 
0.316 1.014 1.014 
0.785 0.847 0.847 
0.283 1.102 1.102 
0.300 1.491 1.491 
0.718 1.359 1.359 
0.467 0.913 0.913 
0.718 0.814 0.814 
0.801 0.624 0.624 
0.668 0.568 0.568 
0.801 1.057 1.057 
0.385 1.404 1.404 
0.785 0.867 0.867 
0.984 0.924 0.924 
0.902 1.951 1.951 
0.267 0.935 0.935 
0.501 1.059 1.059 
0.501 1.068 1.068 
0.751 1.280 1.280 
0.684 1.181 1.181 
0.835 0.870 0.870 
0.502 0.791 0.791 
0.367 0.780 0.780 
0.268 1.058 1.058 
0.818 0.935 0.935 
0.367 1.002 1.002 
0.518 1.349 1.349 
0.650 0.914 0.914 
0.383 0.981 0.981 
0.717 1.526 1.526 
