<><><><><><><><> 
Begin: 04-Mar-2014 18:02:34 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s30 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.445 1.445 
0.350 0.945 0.945 
0.500 1.092 1.092 
0.250 1.262 1.262 
0.617 0.693 0.693 
0.468 0.767 0.767 
0.351 0.904 0.904 
0.368 1.357 1.357 
0.934 0.684 0.684 
0.751 0.710 0.710 
0.584 0.776 0.776 
0.935 0.662 0.662 
0.283 0.902 0.902 
0.801 0.251 0.251 
0.800 0.012 0.012 
0.651 0.011 0.011 
0.350 0.011 0.011 
0.685 0.718 0.718 
0.451 0.048 0.048 
0.317 0.920 0.920 
0.368 1.587 1.587 
0.919 0.947 0.947 
0.266 0.644 0.644 
0.400 0.715 0.715 
0.250 0.856 0.856 
0.551 0.881 0.881 
0.217 0.680 0.680 
0.917 1.173 1.173 
0.367 1.420 1.420 
0.283 1.237 1.237 
0.451 0.880 0.880 
0.567 0.933 0.933 
0.284 1.179 1.179 
1.002 1.146 1.146 
0.466 0.771 0.771 
0.449 0.590 0.590 
0.250 1.516 1.516 
0.451 0.960 0.960 
0.233 1.536 1.536 
0.601 1.440 1.440 
0.818 1.257 1.257 
0.700 1.034 1.034 
0.283 1.039 1.039 
0.267 1.091 1.091 
0.817 1.826 1.826 
0.934 0.838 0.838 
0.634 0.012 0.012 
0.284 0.167 0.167 
0.868 0.012 0.012 
0.466 0.081 0.081 
0.434 0.012 0.012 
0.800 0.012 0.012 
0.217 0.012 0.012 
0.250 0.012 0.012 
0.734 1.100 1.100 
0.684 1.205 1.205 
0.617 0.923 0.923 
0.785 0.807 0.807 
0.768 0.951 0.951 
0.834 2.725 2.725 
0.434 1.257 1.257 
0.750 2.422 2.422 
0.651 0.876 0.876 
0.517 1.093 1.093 
0.250 1.956 1.956 
0.834 1.908 1.908 
0.467 0.706 0.706 
0.685 1.573 1.573 
0.800 1.044 1.044 
0.284 1.959 1.959 
0.300 1.066 1.066 
0.650 0.730 0.730 
0.584 0.942 0.942 
0.918 1.032 1.032 
0.850 1.983 1.983 
0.784 1.004 1.004 
0.250 1.032 1.032 
0.268 1.400 1.400 
0.267 0.996 0.996 
0.850 0.682 0.682 
0.952 0.696 0.696 
0.751 0.709 0.709 
0.317 0.794 0.794 
0.785 0.875 0.875 
0.284 0.818 0.818 
0.300 0.708 0.708 
0.717 0.671 0.671 
0.468 0.865 0.865 
0.734 0.742 0.742 
0.801 0.914 0.914 
0.667 0.815 0.815 
0.800 0.254 0.254 
0.384 0.012 0.012 
0.783 0.012 0.012 
0.984 0.828 0.828 
0.901 1.250 1.250 
0.267 0.899 0.899 
0.501 0.779 0.779 
0.501 1.186 1.186 
0.751 1.068 1.068 
0.685 1.250 1.250 
0.835 0.987 0.987 
0.500 1.369 1.369 
0.368 0.850 0.850 
0.268 1.140 1.140 
0.818 1.034 1.034 
0.366 1.012 1.012 
0.517 0.919 0.919 
0.650 1.660 1.660 
0.385 1.477 1.477 
0.718 1.273 1.273 
