<><><><><><><><> 
Begin: 04-Mar-2014 17:52:18 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s30 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 4.002 4.342 
0.349 2.636 2.636 
0.484 2.735 2.735 
0.250 1.080 1.080 
0.618 2.222 2.222 
0.468 1.324 1.324 
0.349 2.280 2.280 
0.366 2.948 2.948 
0.934 1.861 1.861 
0.750 2.555 2.555 
0.584 2.915 2.915 
0.935 2.491 2.491 
0.284 1.034 1.034 
0.802 3.381 3.381 
0.800 2.436 2.436 
0.652 1.079 1.079 
0.350 1.287 1.287 
0.684 1.876 1.876 
0.450 2.218 2.218 
0.317 2.053 2.053 
0.368 1.631 1.631 
0.918 1.635 1.635 
0.267 2.613 2.613 
0.400 1.776 1.776 
0.250 1.866 1.866 
0.550 2.106 2.106 
0.218 1.989 1.989 
0.918 1.951 1.951 
0.367 1.552 1.552 
0.284 3.466 3.466 
0.451 3.694 3.694 
0.567 1.378 1.378 
0.284 1.481 1.481 
1.002 1.707 1.707 
0.468 2.628 2.628 
0.433 1.706 1.706 
0.250 0.806 0.806 
0.450 2.237 2.237 
0.233 1.796 1.796 
0.600 1.627 1.627 
0.818 3.473 3.473 
0.716 1.120 1.120 
0.283 2.950 2.950 
0.267 1.163 1.163 
0.818 1.390 1.390 
0.934 2.564 2.564 
0.633 1.911 1.911 
0.283 0.987 0.987 
0.868 1.037 1.037 
0.466 1.502 1.502 
0.434 1.067 1.067 
0.801 2.262 2.262 
0.217 2.508 2.508 
0.250 2.527 2.527 
0.734 3.585 3.585 
0.685 2.081 2.081 
0.616 3.311 3.311 
0.784 2.313 2.313 
0.768 1.599 1.599 
0.834 1.889 1.889 
0.434 1.026 1.026 
0.750 1.086 1.086 
0.651 3.902 3.902 
0.516 1.617 1.617 
0.250 1.080 1.080 
0.833 3.526 3.526 
0.467 1.978 1.978 
0.684 1.574 1.574 
0.801 1.237 1.237 
0.284 1.094 1.094 
0.300 1.448 1.448 
0.650 0.623 0.623 
0.584 1.418 1.418 
0.918 0.677 0.677 
0.850 3.541 3.541 
0.785 4.004 4.500 
0.250 1.504 1.504 
0.267 2.101 2.101 
0.267 1.121 1.121 
0.835 0.784 0.784 
0.952 1.402 1.402 
0.750 1.559 1.559 
0.317 1.199 1.199 
0.785 1.426 1.426 
0.300 1.194 1.194 
0.301 1.910 1.910 
0.718 1.766 1.766 
0.468 0.914 0.914 
0.734 2.968 2.968 
0.801 1.735 1.735 
0.668 2.713 2.713 
0.801 1.001 1.001 
0.383 0.804 0.804 
0.784 2.270 2.270 
0.985 1.540 1.540 
0.901 1.692 1.692 
0.267 1.532 1.532 
0.501 1.274 1.274 
0.501 0.892 0.892 
0.752 3.337 3.337 
0.684 3.726 3.726 
0.834 1.547 1.547 
0.500 1.414 1.414 
0.366 0.696 0.696 
0.267 2.355 2.355 
0.818 2.107 2.107 
0.367 0.659 0.659 
0.517 0.769 0.769 
0.650 1.440 1.440 
0.384 1.053 1.053 
0.718 0.325 0.325 
