<><><><><><><><> 
Begin: 12-Feb-2014 19:01:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s14 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.552 2.552 
0.600 3.996 5.996 
0.601 3.983 5.989 
0.902 1.565 1.565 
0.484 3.994 5.996 
0.567 1.685 1.685 
0.969 2.046 2.046 
0.234 3.120 3.120 
0.984 2.726 2.726 
0.350 1.707 1.707 
0.734 1.663 1.663 
0.666 1.915 1.915 
0.750 1.763 1.763 
0.483 1.555 1.555 
0.701 1.937 1.937 
0.851 1.073 1.073 
0.218 1.730 1.730 
0.267 3.273 3.273 
0.983 1.501 1.501 
0.718 1.575 1.575 
0.384 2.013 2.013 
0.518 2.550 2.550 
0.300 2.189 2.189 
0.416 2.419 2.419 
0.416 2.463 2.463 
0.467 2.701 2.701 
0.317 3.260 3.260 
0.483 1.358 1.358 
0.300 1.345 1.345 
0.917 1.009 1.009 
0.284 1.839 1.839 
0.952 1.609 1.609 
0.517 2.341 2.341 
0.233 1.619 1.619 
0.484 1.172 1.172 
0.801 1.838 1.838 
0.833 2.286 2.286 
0.635 2.167 2.167 
0.750 2.495 2.495 
0.919 2.637 2.637 
0.250 1.565 1.565 
0.450 2.014 2.014 
0.234 1.269 1.269 
0.367 1.149 1.149 
0.784 1.236 1.236 
0.784 0.602 0.602 
0.901 0.744 0.744 
0.667 1.258 1.258 
0.267 1.335 1.335 
0.934 1.752 1.752 
0.851 0.711 0.711 
0.435 0.690 0.690 
0.634 2.187 2.187 
0.985 1.774 1.774 
0.767 1.270 1.270 
0.868 0.636 0.636 
0.550 2.133 2.133 
0.584 0.929 0.929 
0.652 1.215 1.215 
0.417 1.356 1.356 
0.802 1.082 1.082 
0.601 1.258 1.258 
0.718 2.385 2.385 
0.452 1.007 1.007 
0.318 1.433 1.433 
0.585 2.002 2.002 
0.501 1.215 1.215 
0.835 1.051 1.051 
0.834 1.860 1.860 
0.734 1.346 1.346 
0.317 1.205 1.205 
0.217 1.367 1.367 
0.650 1.083 1.083 
0.451 1.599 1.599 
0.950 1.379 1.379 
0.985 2.221 2.221 
0.434 0.656 0.656 
0.850 1.291 1.291 
0.918 1.291 1.291 
0.684 1.094 1.094 
0.918 0.668 0.668 
0.951 0.525 0.525 
0.650 1.751 1.751 
0.784 1.215 1.215 
0.668 1.258 1.258 
0.217 1.160 1.160 
0.567 0.799 0.799 
0.717 0.733 0.733 
0.618 0.536 0.536 
0.502 0.515 0.515 
0.951 0.536 0.536 
0.868 0.930 0.930 
0.884 0.471 0.471 
0.501 0.471 0.471 
0.684 0.636 0.636 
0.902 1.818 1.818 
0.952 1.039 1.039 
0.735 0.941 0.941 
0.366 0.799 0.799 
0.719 0.831 0.831 
0.267 0.875 0.875 
0.534 0.896 0.896 
0.735 1.291 1.291 
0.952 2.166 2.166 
0.851 2.264 2.264 
0.584 1.937 1.937 
0.802 1.018 1.018 
0.534 0.985 0.985 
0.983 1.226 1.226 
1.001 0.624 0.624 
0.901 0.941 0.941 
