<><><><><><><><> 
Begin: 12-Feb-2014 19:09:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s14 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.674 0.674 
0.601 0.668 0.668 
0.600 1.422 1.422 
0.902 0.831 0.831 
0.485 0.864 0.864 
0.567 0.722 0.722 
0.968 0.645 0.645 
0.234 0.612 0.612 
0.984 1.017 1.017 
0.350 1.138 1.138 
0.735 2.735 2.735 
0.668 0.678 0.678 
0.751 0.755 0.755 
0.484 0.612 0.612 
0.701 0.952 0.952 
0.852 1.181 1.181 
0.216 1.324 1.324 
0.267 1.335 1.335 
0.984 1.543 1.543 
0.718 0.864 0.864 
0.385 1.095 1.095 
0.533 0.831 0.831 
0.299 0.897 0.897 
0.417 1.498 1.498 
0.417 0.580 0.580 
0.467 1.225 1.225 
0.317 1.958 1.958 
0.485 1.204 1.204 
0.300 0.690 0.690 
0.918 1.903 1.903 
0.283 0.591 0.591 
0.950 0.602 0.602 
0.516 0.744 0.744 
0.235 1.061 1.061 
0.484 1.182 1.182 
0.784 0.898 0.898 
0.835 1.225 1.225 
0.634 0.910 0.910 
0.752 0.591 0.591 
0.918 0.799 0.799 
0.250 0.711 0.711 
0.450 0.602 0.602 
0.235 1.030 1.030 
0.367 0.865 0.865 
0.784 1.050 1.050 
0.784 1.116 1.116 
0.901 0.701 0.701 
0.667 0.405 0.405 
0.267 0.711 0.711 
0.934 0.559 0.559 
0.850 0.548 0.548 
0.435 1.302 1.302 
0.634 0.919 0.919 
0.985 0.558 0.558 
0.768 0.679 0.679 
0.884 0.591 0.591 
0.551 0.821 0.821 
0.584 0.558 0.558 
0.652 0.668 0.668 
0.417 0.580 0.580 
0.801 0.373 0.373 
0.601 0.777 0.777 
0.718 1.148 1.148 
0.450 0.580 0.580 
0.318 0.427 0.427 
0.585 0.537 0.537 
0.500 0.624 0.624 
0.834 1.345 1.345 
0.834 0.854 0.854 
0.734 0.789 0.789 
0.317 1.083 1.083 
0.216 0.985 0.985 
0.652 0.755 0.755 
0.451 0.525 0.525 
0.952 0.536 0.536 
0.984 0.908 0.908 
0.434 0.690 0.690 
0.851 0.722 0.722 
0.917 0.601 0.601 
0.685 0.635 0.635 
0.917 0.546 0.546 
0.951 0.854 0.854 
0.634 0.799 0.799 
0.785 1.117 1.117 
0.668 1.281 1.281 
0.217 1.532 1.532 
0.567 0.580 0.580 
0.717 0.558 0.558 
0.617 1.368 1.368 
0.502 1.159 1.159 
0.952 0.788 0.788 
0.868 1.182 1.182 
0.884 0.853 0.853 
0.500 0.930 0.930 
0.684 0.646 0.646 
0.900 0.843 0.843 
0.952 0.799 0.799 
0.735 0.909 0.909 
0.367 0.843 0.843 
0.719 0.941 0.941 
0.267 0.886 0.886 
0.534 0.765 0.765 
0.734 1.992 1.992 
0.951 0.668 0.668 
0.852 0.777 0.777 
0.583 0.974 0.974 
0.801 0.647 0.647 
0.533 0.548 0.548 
0.984 0.657 0.657 
1.001 0.591 0.591 
0.901 0.952 0.952 
