<><><><><><><><> 
Begin: 06-Mar-2014 11:41:59 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s33 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.721 2.721 
0.268 0.982 0.982 
0.417 0.961 0.961 
0.851 1.607 1.607 
0.234 1.128 1.128 
0.951 0.557 0.557 
0.784 1.153 1.153 
0.601 1.055 1.055 
0.668 0.943 0.943 
0.400 0.727 0.727 
0.567 0.591 0.591 
0.967 1.235 1.235 
0.635 0.776 0.776 
0.617 1.107 1.107 
0.384 0.673 0.673 
0.601 1.388 1.388 
0.701 0.803 0.803 
0.751 1.622 1.622 
0.518 0.898 0.898 
0.501 1.743 1.743 
1.001 0.597 0.597 
0.234 1.506 1.506 
0.918 0.990 0.990 
0.934 0.622 0.622 
0.835 0.792 0.792 
0.284 1.923 1.923 
0.417 2.346 2.346 
0.468 1.568 1.568 
0.752 1.263 1.263 
0.317 1.366 1.366 
0.785 1.873 1.873 
0.284 1.183 1.183 
0.734 0.795 0.795 
0.601 1.389 1.389 
0.834 1.011 1.011 
0.784 0.823 0.823 
0.933 0.668 0.668 
0.918 1.066 1.066 
0.467 0.868 0.868 
0.768 0.968 0.968 
0.367 2.478 2.478 
0.233 1.006 1.006 
0.801 1.306 1.306 
0.600 1.569 1.569 
0.585 1.640 1.640 
0.934 1.336 1.336 
0.684 2.076 2.076 
0.702 1.901 1.901 
0.885 0.850 0.850 
0.851 0.601 0.601 
0.668 0.609 0.609 
0.350 1.441 1.441 
0.400 0.780 0.780 
0.918 1.606 1.606 
0.233 2.986 2.986 
0.600 1.042 1.042 
0.334 0.777 0.777 
0.986 1.429 1.429 
0.768 1.433 1.433 
0.601 1.329 1.329 
0.584 1.142 1.142 
0.250 1.434 1.434 
0.751 2.648 2.648 
0.233 1.980 1.980 
0.267 1.549 1.549 
0.618 1.268 1.268 
0.285 2.266 2.266 
0.866 1.355 1.355 
0.851 1.703 1.703 
0.784 1.195 1.195 
0.317 1.411 1.411 
0.734 0.645 0.645 
0.618 0.707 0.707 
0.985 1.976 1.976 
0.718 1.395 1.395 
0.851 1.768 1.768 
0.567 0.638 0.638 
0.551 0.578 0.578 
0.868 0.480 0.480 
0.267 1.197 1.197 
0.316 2.286 2.286 
0.334 1.901 1.901 
0.518 2.109 2.109 
0.869 0.867 0.867 
0.851 1.295 1.295 
0.250 1.283 1.283 
0.517 1.342 1.342 
0.633 1.300 1.300 
0.535 0.974 0.974 
0.734 0.645 0.645 
0.701 0.563 0.563 
0.435 0.605 0.605 
0.551 0.525 0.525 
0.217 1.781 1.781 
0.984 1.021 1.021 
0.334 2.013 2.013 
0.284 2.745 2.745 
0.499 1.365 1.365 
0.366 2.716 2.716 
0.600 1.023 1.023 
0.468 2.436 2.436 
0.968 1.608 1.608 
0.934 0.801 0.801 
0.250 0.539 0.539 
0.800 0.962 0.962 
0.417 0.596 0.596 
0.534 1.129 1.129 
0.634 1.457 1.457 
0.952 0.800 0.800 
0.534 0.996 0.996 
0.984 2.149 2.149 
