<><><><><><><><> 
Begin: 14-Jan-2014 22:21:08 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s06 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.444 1.444 
0.350 1.051 1.051 
0.484 1.468 1.468 
0.250 1.216 1.216 
0.616 1.359 1.359 
0.467 1.271 1.271 
0.350 1.008 1.008 
0.367 0.997 0.997 
0.933 1.172 1.172 
0.751 0.844 0.844 
0.584 0.526 0.526 
0.935 1.304 1.304 
0.283 1.227 1.227 
0.801 0.745 0.745 
0.785 0.855 0.855 
0.651 0.854 0.854 
0.350 1.073 1.073 
0.684 1.106 1.106 
0.450 0.701 0.701 
0.317 0.975 0.975 
0.366 0.756 0.756 
0.918 0.964 0.964 
0.267 0.788 0.788 
0.400 1.829 1.829 
0.250 1.063 1.063 
0.552 0.712 0.712 
0.217 1.369 1.369 
0.919 1.238 1.238 
0.366 0.854 0.854 
0.284 1.052 1.052 
0.452 1.096 1.096 
0.568 1.085 1.085 
0.285 1.752 1.752 
1.002 1.095 1.095 
0.467 1.051 1.051 
0.435 0.932 0.932 
0.250 0.701 0.701 
0.434 1.227 1.227 
0.234 1.216 1.216 
0.601 0.701 0.701 
0.816 0.799 0.799 
0.700 1.162 1.162 
0.266 0.964 0.964 
0.267 1.369 1.369 
0.818 0.898 0.898 
0.934 1.337 1.337 
0.635 1.501 1.501 
0.284 1.281 1.281 
0.869 0.745 0.745 
0.466 2.158 2.158 
0.433 1.314 1.314 
0.801 1.139 1.139 
0.216 1.063 1.063 
0.250 1.063 1.063 
0.735 1.008 1.008 
0.684 1.227 1.227 
0.618 0.723 0.723 
0.784 1.249 1.249 
0.767 1.008 1.008 
0.833 1.369 1.369 
0.434 1.424 1.424 
0.750 1.117 1.117 
0.651 0.909 0.909 
0.518 0.953 0.953 
0.251 0.778 0.778 
0.834 1.972 1.972 
0.468 1.304 1.304 
0.684 1.402 1.402 
0.800 1.282 1.282 
0.283 0.624 0.624 
0.301 1.424 1.424 
0.650 1.314 1.314 
0.585 1.336 1.336 
0.918 1.479 1.479 
0.835 1.030 1.030 
0.784 1.162 1.162 
0.250 0.646 0.646 
0.266 1.008 1.008 
0.267 0.943 0.943 
0.835 0.844 0.844 
0.952 2.103 2.103 
0.751 1.292 1.292 
0.316 0.953 0.953 
0.785 2.114 2.114 
0.284 1.161 1.161 
0.300 1.227 1.227 
0.718 1.314 1.314 
0.468 0.832 0.832 
0.734 0.964 0.964 
0.801 0.986 0.986 
0.667 1.303 1.303 
0.801 1.150 1.150 
0.384 1.051 1.051 
0.785 0.953 0.953 
0.984 0.733 0.733 
0.901 1.030 1.030 
0.267 1.096 1.096 
0.501 0.701 0.701 
0.501 0.985 0.985 
0.752 1.281 1.281 
0.683 0.865 0.865 
0.833 3.175 3.175 
0.501 1.588 1.588 
0.368 1.040 1.040 
0.267 1.183 1.183 
0.818 1.347 1.347 
0.367 1.205 1.205 
0.518 1.019 1.019 
0.651 1.621 1.621 
0.383 0.777 0.777 
0.717 1.128 1.128 
