<><><><><><><><> 
Begin: 14-Jan-2014 22:10:40 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s06 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.490 2.490 
0.349 1.413 1.413 
0.483 1.633 1.633 
0.250 1.599 1.599 
0.617 0.832 0.832 
0.468 1.467 1.467 
0.350 0.843 0.843 
0.366 1.380 1.380 
0.934 1.261 1.261 
0.750 1.348 1.348 
0.583 1.347 1.347 
0.934 1.731 1.731 
0.285 1.150 1.150 
0.802 1.238 1.238 
0.800 0.778 0.778 
0.652 1.073 1.073 
0.351 2.257 2.257 
0.685 1.391 1.391 
0.450 1.686 1.686 
0.317 0.854 0.854 
0.367 1.107 1.107 
0.917 1.085 1.085 
0.267 1.358 1.358 
0.400 0.920 0.920 
0.250 1.347 1.347 
0.550 1.764 1.764 
0.218 1.851 1.851 
0.918 1.654 1.654 
0.366 1.358 1.358 
0.284 0.712 0.712 
0.449 1.413 1.413 
0.567 1.775 1.775 
0.285 1.479 1.479 
1.002 1.216 1.216 
0.468 0.920 0.920 
0.435 1.018 1.018 
0.250 1.008 1.008 
0.434 1.556 1.556 
0.235 1.610 1.610 
0.601 1.501 1.501 
0.818 0.799 0.799 
0.701 1.128 1.128 
0.283 1.084 1.084 
0.267 1.434 1.434 
0.817 1.259 1.259 
0.933 0.931 0.931 
0.634 1.303 1.303 
0.284 1.293 1.293 
0.868 1.019 1.019 
0.468 1.687 1.687 
0.434 2.224 2.224 
0.802 2.059 2.059 
0.216 1.468 1.468 
0.234 2.784 2.784 
0.735 0.975 0.975 
0.684 0.997 0.997 
0.617 1.325 1.325 
0.783 0.833 0.833 
0.769 1.347 1.347 
0.834 1.720 1.720 
0.435 1.786 1.786 
0.750 1.314 1.314 
0.651 1.238 1.238 
0.516 1.665 1.665 
0.251 1.271 1.271 
0.833 1.391 1.391 
0.468 1.184 1.184 
0.684 1.085 1.085 
0.801 0.964 0.964 
0.284 1.512 1.512 
0.301 1.139 1.139 
0.650 1.161 1.161 
0.585 1.370 1.370 
0.918 1.084 1.084 
0.835 0.953 0.953 
0.784 1.512 1.512 
0.250 1.292 1.292 
0.267 0.887 0.887 
0.267 1.829 1.829 
0.835 2.815 2.815 
0.952 1.336 1.336 
0.752 0.931 0.931 
0.316 1.150 1.150 
0.785 1.172 1.172 
0.284 1.774 1.774 
0.300 1.238 1.238 
0.719 1.172 1.172 
0.468 1.533 1.533 
0.718 1.544 1.544 
0.801 1.215 1.215 
0.667 0.767 0.767 
0.801 1.632 1.632 
0.385 1.589 1.589 
0.784 0.843 0.843 
0.984 1.348 1.348 
0.901 1.533 1.533 
0.267 1.139 1.139 
0.501 0.986 0.986 
0.502 1.051 1.051 
0.751 0.974 0.974 
0.684 1.676 1.676 
0.834 2.584 2.584 
0.501 1.698 1.698 
0.368 1.402 1.402 
0.267 1.183 1.183 
0.818 0.734 0.734 
0.367 2.442 2.442 
0.516 1.248 1.248 
0.651 2.596 2.596 
0.385 2.135 2.135 
0.718 2.749 2.749 
