<><><><><><><><> 
Begin: 20-Feb-2014 09:24:04 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s16 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.030 2.030 
0.267 1.521 1.521 
0.417 2.036 2.036 
0.851 1.817 1.817 
0.234 2.230 2.230 
0.951 1.170 1.170 
0.785 2.529 2.529 
0.601 1.904 1.904 
0.668 1.652 1.652 
0.400 1.170 1.170 
0.568 0.952 0.952 
0.969 2.079 2.079 
0.634 1.488 1.488 
0.618 0.821 0.821 
0.383 1.902 1.902 
0.601 1.466 1.466 
0.701 2.825 2.825 
0.751 1.149 1.149 
0.517 1.335 1.335 
0.501 1.773 1.773 
1.001 0.799 0.799 
0.234 1.815 1.815 
0.918 0.876 0.876 
0.935 1.017 1.017 
0.835 2.540 2.540 
0.285 1.543 1.543 
0.417 0.899 0.899 
0.467 1.423 1.423 
0.752 1.465 1.465 
0.317 0.776 0.776 
0.784 1.335 1.335 
0.285 1.893 1.893 
0.733 1.838 1.838 
0.601 1.543 1.543 
0.834 1.051 1.051 
0.768 2.834 2.834 
0.934 1.148 1.148 
0.918 0.853 0.853 
0.468 1.434 1.434 
0.768 2.100 2.100 
0.366 0.843 0.843 
0.234 1.718 1.718 
0.801 2.155 2.155 
0.601 2.395 2.395 
0.584 1.553 1.553 
0.933 2.439 2.439 
0.684 2.429 2.429 
0.702 1.498 1.498 
0.884 0.974 0.974 
0.851 2.658 2.658 
0.666 1.423 1.423 
0.350 2.975 2.975 
0.400 1.138 1.138 
0.918 1.674 1.674 
0.234 1.826 1.826 
0.600 2.221 2.221 
0.335 1.195 1.195 
0.984 1.237 1.237 
0.768 1.883 1.883 
0.601 1.062 1.062 
0.584 0.865 0.865 
0.251 1.587 1.587 
0.751 1.082 1.082 
0.235 0.984 0.984 
0.267 1.640 1.640 
0.616 0.810 0.810 
0.284 1.674 1.674 
0.852 1.303 1.303 
0.851 1.237 1.237 
0.784 0.809 0.809 
0.318 1.160 1.160 
0.733 1.828 1.828 
0.616 1.292 1.292 
0.985 1.061 1.061 
0.717 1.784 1.784 
0.851 2.111 2.111 
0.567 0.809 0.809 
0.551 0.985 0.985 
0.868 2.789 2.789 
0.266 1.553 1.553 
0.316 2.253 2.253 
0.334 1.707 1.707 
0.518 0.777 0.777 
0.869 2.012 2.012 
0.851 1.115 1.115 
0.251 1.794 1.794 
0.516 2.112 2.112 
0.617 3.183 3.183 
0.533 2.013 2.013 
0.733 2.538 2.538 
0.700 2.602 2.602 
0.435 3.412 3.412 
0.551 3.172 3.172 
0.217 2.342 2.342 
0.985 1.662 1.662 
0.334 2.221 2.221 
0.284 1.705 1.705 
0.500 0.788 0.788 
0.366 0.887 0.887 
0.600 2.527 2.527 
0.468 0.788 0.788 
0.967 2.626 2.626 
0.933 3.796 3.796 
0.250 0.984 0.984 
0.801 2.548 2.548 
0.417 1.663 1.663 
0.533 1.881 1.881 
0.634 1.367 1.367 
0.951 1.926 1.926 
0.535 1.587 1.587 
0.984 2.123 2.123 
