<><><><><><><><> 
Begin: 21-Feb-2014 15:51:16 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s18 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.640 1.640 
0.267 0.787 0.787 
0.418 0.799 0.799 
0.851 0.886 0.886 
0.234 0.995 0.995 
0.951 0.765 0.765 
0.784 0.885 0.885 
0.601 0.766 0.766 
0.667 0.657 0.657 
0.400 0.755 0.755 
0.567 0.646 0.646 
0.967 0.547 0.547 
0.634 0.733 0.733 
0.618 1.007 1.007 
0.384 1.159 1.159 
0.600 0.580 0.580 
0.701 1.182 1.182 
0.751 0.667 0.667 
0.517 0.460 0.460 
0.502 0.274 0.274 
1.001 0.722 0.722 
0.235 1.237 1.237 
0.917 0.515 0.515 
0.933 0.274 0.274 
0.834 1.040 1.040 
0.284 0.886 0.886 
0.417 0.623 0.623 
0.467 0.679 0.679 
0.751 0.634 0.634 
0.317 1.072 1.072 
0.785 0.590 0.590 
0.285 0.964 0.964 
0.733 0.405 0.405 
0.602 0.427 0.427 
0.818 0.109 0.109 
0.768 0.110 0.110 
0.934 1.170 1.170 
0.918 1.072 1.072 
0.467 0.743 0.743 
0.766 0.241 0.241 
0.366 0.777 0.777 
0.234 0.689 0.689 
0.801 0.624 0.624 
0.601 0.394 0.394 
0.584 0.011 0.011 
0.934 0.646 0.646 
0.683 0.656 0.656 
0.702 0.481 0.481 
0.885 0.996 0.996 
0.851 0.678 0.678 
0.667 0.743 0.743 
0.350 0.733 0.733 
0.400 0.767 0.767 
0.918 0.503 0.503 
0.234 0.667 0.667 
0.601 0.339 0.339 
0.334 0.394 0.394 
0.984 0.339 0.339 
0.768 0.274 0.274 
0.600 0.449 0.449 
0.585 0.394 0.394 
0.250 0.591 0.591 
0.751 0.383 0.383 
0.234 0.766 0.766 
0.266 1.006 1.006 
0.617 0.285 0.285 
0.285 0.580 0.580 
0.851 0.208 0.208 
0.852 0.307 0.307 
0.784 0.350 0.350 
0.317 1.138 1.138 
0.734 0.875 0.875 
0.617 0.546 0.546 
0.984 0.329 0.329 
0.717 0.011 0.011 
0.836 0.765 0.765 
0.568 1.927 1.927 
0.551 0.886 0.886 
0.867 0.656 0.656 
0.267 0.372 0.372 
0.317 0.252 0.252 
0.349 0.777 0.777 
0.517 0.328 0.328 
0.869 0.011 0.011 
0.851 0.011 0.011 
0.251 0.755 0.755 
0.518 0.558 0.558 
0.618 0.317 0.317 
0.535 0.733 0.733 
0.734 0.886 0.886 
0.701 0.591 0.591 
0.435 0.886 0.886 
0.552 0.581 0.581 
0.217 0.285 0.285 
0.986 1.149 1.149 
0.335 1.029 1.029 
0.284 0.591 0.591 
0.500 0.459 0.459 
0.367 0.350 0.350 
0.601 1.040 1.040 
0.467 0.832 0.832 
0.969 0.635 0.635 
0.935 0.930 0.930 
0.250 0.241 0.241 
0.800 0.624 0.624 
0.418 0.449 0.449 
0.535 0.416 0.416 
0.635 0.306 0.306 
0.951 0.131 0.131 
0.534 0.657 0.657 
0.985 1.062 1.062 
