<><><><><><><><> 
Begin: 05-Mar-2014 11:41:17 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s32 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.884 0.884 
0.349 0.601 0.601 
0.484 0.562 0.562 
0.251 0.890 0.890 
0.617 0.909 0.909 
0.467 0.890 0.890 
0.350 1.005 1.005 
0.368 1.217 1.217 
0.934 0.765 0.765 
0.751 1.168 1.168 
0.584 0.861 0.861 
0.934 0.597 0.597 
0.284 0.994 0.994 
0.801 0.931 0.931 
0.785 0.921 0.921 
0.651 0.951 0.951 
0.350 0.875 0.875 
0.684 0.766 0.766 
0.450 1.043 1.043 
0.317 1.233 1.233 
0.368 1.300 1.300 
0.918 0.500 0.500 
0.267 1.631 1.631 
0.400 1.405 1.405 
0.250 1.778 1.778 
0.550 1.107 1.107 
0.216 1.124 1.124 
0.918 1.508 1.508 
0.367 1.630 1.630 
0.284 1.070 1.070 
0.451 1.661 1.661 
0.567 1.363 1.363 
0.284 0.563 0.563 
1.001 0.766 0.766 
0.467 3.458 3.458 
0.433 0.720 0.720 
0.250 3.996 4.408 
0.450 0.930 0.930 
0.234 0.835 0.835 
0.600 0.682 0.682 
0.818 0.999 0.999 
0.701 0.753 0.753 
0.283 0.895 0.895 
0.267 1.552 1.552 
0.818 0.732 0.732 
0.934 1.744 1.744 
0.634 1.218 1.218 
0.283 1.118 1.118 
0.868 0.933 0.933 
0.467 1.309 1.309 
0.435 1.605 1.605 
0.801 0.588 0.588 
0.217 0.680 0.680 
0.250 1.805 1.805 
0.734 1.562 1.562 
0.685 0.847 0.847 
0.617 0.993 0.993 
0.784 0.891 0.891 
0.768 0.782 0.782 
0.834 0.864 0.864 
0.434 1.067 1.067 
0.751 0.746 0.746 
0.651 0.863 0.863 
0.516 0.809 0.809 
0.251 0.797 0.797 
0.834 0.548 0.548 
0.466 0.718 0.718 
0.685 0.817 0.817 
0.801 0.504 0.504 
0.284 0.730 0.730 
0.300 0.869 0.869 
0.650 1.285 1.285 
0.599 1.242 1.242 
0.918 0.979 0.979 
0.850 0.927 0.927 
0.784 0.984 0.984 
0.250 1.038 1.038 
0.266 0.944 0.944 
0.267 2.203 2.203 
0.834 1.209 1.209 
0.951 0.703 0.703 
0.751 0.602 0.602 
0.317 1.931 1.931 
0.784 0.845 0.845 
0.300 1.150 1.150 
0.301 1.163 1.163 
0.718 0.462 0.462 
0.467 0.708 0.708 
0.734 0.941 0.941 
0.802 0.649 0.649 
0.668 0.834 0.834 
0.801 1.056 1.056 
0.383 0.753 0.753 
0.784 0.824 0.824 
0.984 0.717 0.717 
0.902 1.023 1.023 
0.267 1.400 1.400 
0.501 1.171 1.171 
0.501 0.721 0.721 
0.752 0.662 0.662 
0.683 1.312 1.312 
0.835 1.796 1.796 
0.501 1.710 1.710 
0.366 1.482 1.482 
0.266 1.139 1.139 
0.819 1.053 1.053 
0.368 0.928 0.928 
0.518 0.676 0.676 
0.651 0.745 0.745 
0.384 1.021 1.021 
0.718 0.956 0.956 
