<><><><><><><><> 
Begin: 05-Mar-2014 11:48:16 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s32 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.767 0.767 
0.350 0.587 0.587 
0.500 0.624 0.624 
0.251 0.709 0.709 
0.617 0.675 0.675 
0.468 0.606 0.606 
0.350 0.647 0.647 
0.367 0.910 0.910 
0.934 0.733 0.733 
0.751 0.788 0.788 
0.583 0.703 0.703 
0.934 0.667 0.667 
0.284 0.911 0.911 
0.801 0.994 0.994 
0.801 0.799 0.799 
0.651 0.764 0.764 
0.351 0.899 0.899 
0.683 0.807 0.807 
0.450 1.091 1.091 
0.317 1.019 1.019 
0.367 0.826 0.826 
0.918 0.807 0.807 
0.267 1.263 1.263 
0.401 0.859 0.859 
0.250 1.054 1.054 
0.551 0.646 0.646 
0.217 0.505 0.505 
0.916 0.829 0.829 
0.366 0.791 0.791 
0.282 1.165 1.165 
0.450 0.778 0.778 
0.568 0.944 0.944 
0.283 0.988 0.988 
1.000 0.973 0.973 
0.468 0.804 0.804 
0.450 0.756 0.756 
0.250 0.878 0.878 
0.450 0.817 0.817 
0.234 1.239 1.239 
0.600 0.816 0.816 
0.818 0.608 0.608 
0.701 0.542 0.542 
0.266 1.112 1.112 
0.267 0.788 0.788 
0.817 1.947 1.947 
0.934 0.916 0.916 
0.634 0.829 0.829 
0.284 0.610 0.610 
0.868 0.801 0.801 
0.468 0.529 0.529 
0.434 0.832 0.832 
0.801 0.960 0.960 
0.216 2.068 2.068 
0.250 0.816 0.816 
0.735 0.912 0.912 
0.684 0.996 0.996 
0.616 1.058 1.058 
0.784 1.385 1.385 
0.768 0.885 0.885 
0.834 0.812 0.812 
0.434 0.973 0.973 
0.751 0.681 0.681 
0.651 0.616 0.616 
0.518 0.517 0.517 
0.251 1.000 1.000 
0.834 0.935 0.935 
0.468 0.915 0.915 
0.684 1.115 1.115 
0.800 0.664 0.664 
0.284 0.838 0.838 
0.300 0.961 0.961 
0.650 0.935 0.935 
0.583 1.191 1.191 
0.918 0.839 0.839 
0.850 0.668 0.668 
0.785 0.840 0.840 
0.250 0.826 0.826 
0.267 0.959 0.959 
0.267 1.522 1.522 
0.850 1.042 1.042 
0.952 0.901 0.901 
0.751 0.815 0.815 
0.316 0.879 0.879 
0.785 0.974 0.974 
0.300 1.058 1.058 
0.300 0.941 0.941 
0.717 0.791 0.791 
0.467 1.116 1.116 
0.734 1.053 1.053 
0.801 0.832 0.832 
0.668 0.860 0.860 
0.801 0.608 0.608 
0.384 1.009 1.009 
0.784 0.800 0.800 
0.985 1.307 1.307 
0.901 0.728 0.728 
0.268 0.692 0.692 
0.500 0.828 0.828 
0.500 0.739 0.739 
0.751 0.572 0.572 
0.684 0.620 0.620 
0.834 0.499 0.499 
0.502 0.600 0.600 
0.368 1.125 1.125 
0.268 0.869 0.869 
0.818 0.838 0.838 
0.368 0.647 0.647 
0.517 0.889 0.889 
0.651 0.738 0.738 
0.384 1.374 1.374 
0.718 0.889 0.889 
