<><><><><><><><> 
Begin: 06-Feb-2014 18:44:27 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s12 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.819 0.819 
0.284 0.569 0.569 
0.567 0.482 0.482 
0.567 0.547 0.547 
0.650 0.646 0.646 
0.850 0.712 0.712 
0.767 0.722 0.722 
0.901 2.035 2.035 
0.250 0.985 0.985 
0.384 1.181 1.181 
0.567 1.094 1.094 
0.967 0.711 0.711 
0.834 0.744 0.744 
0.567 0.821 0.821 
0.468 0.603 0.603 
0.251 0.635 0.635 
0.801 0.853 0.853 
0.616 0.777 0.777 
0.367 1.367 1.367 
0.550 1.423 1.423 
0.334 1.312 1.312 
0.802 0.875 0.875 
0.502 1.291 1.291 
0.952 1.008 1.008 
0.216 0.875 0.875 
0.869 1.597 1.597 
0.700 0.974 0.974 
0.634 1.171 1.171 
0.717 1.116 1.116 
0.784 0.558 0.558 
0.284 0.623 0.623 
0.901 0.482 0.482 
0.217 0.854 0.854 
0.434 0.581 0.581 
0.350 0.723 0.723 
0.951 0.679 0.679 
0.249 0.536 0.536 
0.667 0.525 0.525 
0.717 0.996 0.996 
0.717 0.799 0.799 
0.901 0.569 0.569 
0.250 0.886 0.886 
0.852 0.515 0.515 
0.617 0.503 0.503 
0.751 0.657 0.657 
0.368 0.897 0.897 
0.634 0.526 0.526 
0.768 0.831 0.831 
0.969 0.821 0.821 
0.550 0.613 0.613 
0.267 0.974 0.974 
0.250 0.887 0.887 
0.700 1.751 1.751 
0.834 1.149 1.149 
0.751 1.631 1.631 
0.484 1.598 1.598 
0.968 1.053 1.053 
0.616 0.952 0.952 
0.967 0.854 0.854 
0.266 0.798 0.798 
0.367 0.624 0.624 
0.818 0.920 0.920 
0.935 0.558 0.558 
0.834 0.667 0.667 
0.435 0.821 0.821 
0.318 1.959 1.959 
0.884 1.006 1.006 
0.835 0.635 0.635 
0.417 0.580 0.580 
0.384 0.722 0.722 
0.466 0.766 0.766 
0.868 0.645 0.645 
0.868 1.335 1.335 
0.651 0.558 0.558 
0.667 1.444 1.444 
0.434 1.105 1.105 
0.767 0.756 0.756 
0.834 0.766 0.766 
0.552 0.569 0.569 
0.567 0.601 0.601 
0.568 0.514 0.514 
0.433 0.580 0.580 
0.750 0.471 0.471 
0.934 1.061 1.061 
0.934 0.755 0.755 
0.802 0.700 0.700 
0.417 0.832 0.832 
0.752 1.412 1.412 
0.316 0.941 0.941 
0.300 0.810 0.810 
0.350 0.810 0.810 
0.317 0.755 0.755 
0.668 0.613 0.613 
0.267 1.269 1.269 
0.868 2.122 2.122 
0.785 1.105 1.105 
0.951 1.128 1.128 
0.600 0.623 0.623 
0.734 1.072 1.072 
0.917 0.689 0.689 
0.634 0.591 0.591 
0.434 1.773 1.773 
0.985 1.006 1.006 
0.235 0.700 0.700 
0.467 0.919 0.919 
0.985 0.623 0.623 
0.500 1.017 1.017 
0.450 1.007 1.007 
0.301 1.411 1.411 
0.935 0.679 0.679 
0.317 0.558 0.558 
