<><><><><><><><> 
Begin: 06-Feb-2014 18:51:43 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s12 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.595 0.595 
0.283 0.624 0.624 
0.567 0.547 0.547 
0.566 0.974 0.974 
0.651 0.799 0.799 
0.851 0.492 0.492 
0.769 1.061 1.061 
0.902 0.853 0.853 
0.250 0.744 0.744 
0.384 0.492 0.492 
0.567 0.503 0.503 
0.968 0.492 0.492 
0.835 0.580 0.580 
0.567 0.996 0.996 
0.467 0.996 0.996 
0.251 0.865 0.865 
0.801 0.930 0.930 
0.600 0.481 0.481 
0.368 0.613 0.613 
0.550 0.733 0.733 
0.334 0.558 0.558 
0.802 1.203 1.203 
0.501 1.302 1.302 
0.951 0.875 0.875 
0.217 0.700 0.700 
0.869 1.127 1.127 
0.702 1.673 1.673 
0.633 0.964 0.964 
0.719 1.052 1.052 
0.784 0.767 0.767 
0.283 1.893 1.893 
0.902 0.995 0.995 
0.216 0.656 0.656 
0.435 0.504 0.504 
0.350 0.733 0.733 
0.951 0.974 0.974 
0.250 0.733 0.733 
0.668 1.116 1.116 
0.718 0.909 0.909 
0.718 0.536 0.536 
0.900 0.547 0.547 
0.249 0.547 0.547 
0.851 0.842 0.842 
0.618 0.722 0.722 
0.751 0.547 0.547 
0.367 0.558 0.558 
0.634 0.525 0.525 
0.768 0.591 0.591 
0.968 1.313 1.313 
0.550 1.105 1.105 
0.267 0.985 0.985 
0.251 0.778 0.778 
0.701 1.116 1.116 
0.834 0.678 0.678 
0.751 0.624 0.624 
0.484 0.635 0.635 
0.968 0.515 0.515 
0.617 0.503 0.503 
0.968 0.591 0.591 
0.266 0.449 0.449 
0.368 0.438 0.438 
0.819 0.492 0.492 
0.935 0.504 0.504 
0.834 0.602 0.602 
0.434 0.788 0.788 
0.318 1.029 1.029 
0.885 1.564 1.564 
0.835 0.602 0.602 
0.416 1.040 1.040 
0.385 1.203 1.203 
0.467 1.302 1.302 
0.868 0.547 0.547 
0.868 0.798 0.798 
0.667 0.995 0.995 
0.666 1.291 1.291 
0.434 0.613 0.613 
0.767 0.668 0.668 
0.834 0.678 0.678 
0.550 0.579 0.579 
0.567 0.809 0.809 
0.583 0.569 0.569 
0.433 0.941 0.941 
0.751 0.634 0.634 
0.918 1.269 1.269 
0.933 0.864 0.864 
0.801 1.149 1.149 
0.416 1.346 1.346 
0.752 0.482 0.482 
0.301 1.281 1.281 
0.300 0.920 0.920 
0.350 0.668 0.668 
0.317 0.657 0.657 
0.667 1.664 1.664 
0.267 1.073 1.073 
0.868 0.722 0.722 
0.784 0.875 0.875 
0.950 0.776 0.776 
0.601 1.411 1.411 
0.734 0.634 0.634 
0.918 0.755 0.755 
0.635 0.799 0.799 
0.434 0.624 0.624 
0.983 1.840 1.840 
0.234 1.455 1.455 
0.468 0.952 0.952 
0.985 1.215 1.215 
0.500 0.864 0.864 
0.449 1.291 1.291 
0.300 0.963 0.963 
0.935 0.832 0.832 
0.316 1.346 1.346 
