<><><><><><><><> 
Begin: 14-Jan-2014 20:33:29 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s04 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.895 0.895 
0.267 0.777 0.777 
0.417 0.984 0.984 
0.851 0.798 0.798 
0.233 1.434 1.434 
0.951 1.313 1.313 
0.783 1.171 1.171 
0.600 0.854 0.854 
0.666 0.897 0.897 
0.400 1.258 1.258 
0.568 1.291 1.291 
0.968 1.149 1.149 
0.634 1.620 1.620 
0.618 1.072 1.072 
0.384 1.073 1.073 
0.601 1.050 1.050 
0.701 0.843 0.843 
0.751 1.126 1.126 
0.517 1.280 1.280 
0.500 1.237 1.237 
1.001 1.203 1.203 
0.234 0.679 0.679 
0.917 1.870 1.870 
0.934 1.028 1.028 
0.833 1.062 1.062 
0.284 1.095 1.095 
0.417 0.876 0.876 
0.467 1.269 1.269 
0.750 0.667 0.667 
0.317 1.335 1.335 
0.784 1.007 1.007 
0.284 1.380 1.380 
0.718 1.291 1.291 
0.600 1.192 1.192 
0.833 1.268 1.268 
0.768 1.072 1.072 
0.934 1.083 1.083 
0.919 1.412 1.412 
0.467 1.051 1.051 
0.768 1.051 1.051 
0.367 1.368 1.368 
0.234 1.028 1.028 
0.801 0.996 0.996 
0.600 0.941 0.941 
0.584 1.259 1.259 
0.933 1.105 1.105 
0.683 1.259 1.259 
0.700 1.226 1.226 
0.884 1.708 1.708 
0.852 1.171 1.171 
0.669 1.116 1.116 
0.351 1.597 1.597 
0.399 1.576 1.576 
0.918 1.204 1.204 
0.234 1.291 1.291 
0.600 1.346 1.346 
0.335 1.751 1.751 
0.985 1.029 1.029 
0.767 0.909 0.909 
0.602 1.630 1.630 
0.584 2.025 2.025 
0.250 1.029 1.029 
0.751 1.050 1.050 
0.233 1.061 1.061 
0.266 1.095 1.095 
0.617 1.006 1.006 
0.284 1.423 1.423 
0.851 1.521 1.521 
0.852 1.181 1.181 
0.784 0.886 0.886 
0.317 1.401 1.401 
0.735 0.876 0.876 
0.616 0.919 0.919 
0.985 1.050 1.050 
0.718 1.105 1.105 
0.850 1.346 1.346 
0.567 1.280 1.280 
0.550 0.821 0.821 
0.868 1.248 1.248 
0.267 1.434 1.434 
0.317 1.029 1.029 
0.333 0.897 0.897 
0.518 0.581 0.581 
0.868 1.357 1.357 
0.851 1.576 1.576 
0.249 1.040 1.040 
0.518 1.018 1.018 
0.619 1.007 1.007 
0.533 1.630 1.630 
0.734 1.040 1.040 
0.701 0.941 0.941 
0.433 1.083 1.083 
0.551 1.598 1.598 
0.217 0.908 0.908 
0.985 0.820 0.820 
0.334 1.149 1.149 
0.285 1.127 1.127 
0.502 1.269 1.269 
0.367 1.127 1.127 
0.601 1.335 1.335 
0.468 0.898 0.898 
0.968 1.138 1.138 
0.934 1.794 1.794 
0.249 0.875 0.875 
0.800 1.280 1.280 
0.417 1.007 1.007 
0.534 1.313 1.313 
0.635 1.292 1.292 
0.951 0.897 0.897 
0.535 0.865 0.865 
0.985 1.270 1.270 
