<><><><><><><><> 
Begin: 14-Jan-2014 20:22:22 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s04 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.997 1.525 1.525 
0.266 1.429 1.429 
0.418 1.745 1.745 
0.851 2.086 2.086 
0.234 1.854 1.854 
0.951 1.529 1.529 
0.784 2.113 2.113 
0.600 3.108 3.108 
0.667 2.167 2.167 
0.400 2.192 2.192 
0.567 3.448 3.448 
0.968 1.601 1.601 
0.634 2.048 2.048 
0.617 1.548 1.548 
0.384 2.613 2.613 
0.601 3.567 3.567 
0.701 2.017 2.017 
0.751 1.884 1.884 
0.517 1.992 1.992 
0.501 1.992 1.992 
1.001 2.600 2.600 
0.233 1.375 1.375 
0.917 1.380 1.380 
0.934 2.476 2.476 
0.834 2.389 2.389 
0.284 1.690 1.690 
0.417 2.265 2.265 
0.467 2.423 2.423 
0.750 1.546 1.546 
0.317 2.289 2.289 
0.784 2.733 2.733 
0.284 1.051 1.051 
0.717 2.144 2.144 
0.601 1.638 1.638 
0.833 1.919 1.919 
0.768 3.238 3.238 
0.918 1.264 1.264 
0.918 1.568 1.568 
0.468 2.758 2.758 
0.767 1.248 1.248 
0.367 1.520 1.520 
0.233 1.390 1.390 
0.800 1.925 1.925 
0.601 1.948 1.948 
0.585 1.795 1.795 
0.934 2.429 2.429 
0.685 1.510 1.510 
0.701 1.280 1.280 
0.883 1.586 1.586 
0.850 1.575 1.575 
0.666 2.604 2.604 
0.350 3.085 3.085 
0.400 3.107 3.107 
0.918 1.455 1.455 
0.233 2.023 2.023 
0.599 1.727 1.727 
0.334 2.297 2.297 
0.985 2.112 2.112 
0.767 1.619 1.619 
0.601 1.760 1.760 
0.584 1.576 1.576 
0.250 0.722 0.722 
0.750 2.395 2.395 
0.235 1.947 1.947 
0.266 1.520 1.520 
0.617 1.915 1.915 
0.284 2.910 2.910 
0.850 1.718 1.718 
0.851 1.652 1.652 
0.784 2.779 2.779 
0.316 2.166 2.166 
0.735 2.242 2.242 
0.618 1.751 1.751 
0.984 1.357 1.357 
0.718 1.324 1.324 
0.851 2.878 2.878 
0.568 2.276 2.276 
0.551 1.312 1.312 
0.868 0.646 0.646 
0.267 1.072 1.072 
0.316 0.799 0.799 
0.349 1.411 1.411 
0.516 1.531 1.531 
0.869 2.331 2.331 
0.851 1.324 1.324 
0.250 0.952 0.952 
0.517 1.718 1.718 
0.618 1.313 1.313 
0.534 0.897 0.897 
0.734 0.799 0.799 
0.701 3.041 3.041 
0.434 2.571 2.571 
0.552 1.586 1.586 
0.217 1.269 1.269 
0.985 1.259 1.259 
0.333 2.187 2.187 
0.284 1.127 1.127 
0.500 1.958 1.958 
0.367 2.079 2.079 
0.601 3.557 3.557 
0.467 1.203 1.203 
0.968 1.247 1.247 
0.935 0.809 0.809 
0.250 1.839 1.839 
0.801 1.609 1.609 
0.418 1.269 1.269 
0.534 2.101 2.101 
0.634 2.822 2.822 
0.951 1.839 1.839 
0.534 2.998 2.998 
0.985 2.069 2.069 
