<><><><><><><><> 
Begin: 04-Mar-2014 15:59:18 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s29 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 4.002 4.076 
0.350 0.996 0.996 
0.501 1.129 1.129 
0.250 0.693 0.693 
0.618 1.432 1.432 
0.467 1.201 1.201 
0.350 1.452 1.452 
0.368 1.417 1.417 
0.934 2.222 2.222 
0.750 1.116 1.116 
0.584 1.364 1.364 
0.935 1.558 1.558 
0.284 1.236 1.236 
0.801 1.263 1.263 
0.801 1.506 1.506 
0.651 1.082 1.082 
0.350 1.487 1.487 
0.684 1.112 1.112 
0.449 1.461 1.461 
0.316 3.303 3.303 
0.366 1.846 1.846 
0.918 2.056 2.056 
0.266 1.246 1.246 
0.400 0.939 0.939 
0.250 2.224 2.224 
0.550 2.745 2.745 
0.217 1.459 1.459 
0.918 1.685 1.685 
0.367 2.527 2.527 
0.284 1.807 1.807 
0.450 1.116 1.116 
0.568 1.361 1.361 
0.284 1.325 1.325 
1.001 0.613 0.613 
0.467 0.948 0.948 
0.434 2.770 2.770 
0.251 1.259 1.259 
0.450 0.529 0.529 
0.234 1.448 1.448 
0.600 1.765 1.765 
0.817 1.780 1.780 
0.717 1.763 1.763 
0.283 3.097 3.097 
0.267 1.442 1.442 
0.818 1.877 1.877 
0.934 1.855 1.855 
0.634 2.113 2.113 
0.283 1.026 1.026 
0.868 0.875 0.875 
0.466 0.695 0.695 
0.434 1.793 1.793 
0.801 1.540 1.540 
0.216 1.352 1.352 
0.250 2.614 2.614 
0.734 1.185 1.185 
0.685 2.498 2.498 
0.617 3.685 3.685 
0.785 3.555 3.555 
0.768 0.984 0.984 
0.834 2.520 2.520 
0.434 2.448 2.448 
0.752 1.149 1.149 
0.651 2.617 2.617 
0.517 1.599 1.599 
0.250 0.555 0.555 
0.833 2.129 2.129 
0.468 2.653 2.653 
0.685 1.546 1.546 
0.800 1.345 1.345 
0.284 1.336 1.336 
0.300 1.548 1.548 
0.650 3.982 4.000 
0.600 1.785 1.785 
0.918 1.911 1.911 
0.850 1.392 1.392 
0.784 1.932 1.932 
0.250 1.417 1.417 
0.267 1.022 1.022 
0.267 2.135 2.135 
0.835 1.211 1.211 
0.951 3.591 3.591 
0.751 2.436 2.436 
0.317 2.366 2.366 
0.784 2.946 2.946 
0.284 1.005 1.005 
0.300 2.667 2.667 
0.717 1.649 1.649 
0.467 3.991 4.870 
0.734 2.135 2.135 
0.802 2.967 2.967 
0.667 1.744 1.744 
0.800 1.702 1.702 
0.383 1.444 1.444 
0.783 2.235 2.235 
0.984 1.055 1.055 
0.901 1.484 1.484 
0.267 1.614 1.614 
0.501 1.682 1.682 
0.501 3.991 4.352 
0.750 1.716 1.716 
0.684 1.326 1.326 
0.835 2.304 2.304 
0.500 1.084 1.084 
0.368 1.268 1.268 
0.267 0.993 0.993 
0.817 1.483 1.483 
0.368 3.003 3.003 
0.518 1.540 1.540 
0.650 1.279 1.279 
0.384 0.733 0.733 
0.717 1.850 1.850 
