<><><><><><><><> 
Begin: 06-Feb-2014 15:15:15 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s10 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.364 1.364 
0.264 1.411 1.411 
0.417 1.608 1.608 
0.851 1.893 1.893 
0.234 1.138 1.138 
0.950 1.072 1.072 
0.784 2.156 2.156 
0.601 2.198 2.198 
0.666 2.067 2.067 
0.399 2.210 2.210 
0.567 1.892 1.892 
0.967 2.200 2.200 
0.634 2.267 2.267 
0.618 2.308 2.308 
0.385 2.768 2.768 
0.601 3.030 3.030 
0.702 1.608 1.608 
0.752 1.390 1.390 
0.518 1.673 1.673 
0.499 1.335 1.335 
1.001 1.444 1.444 
0.233 2.221 2.221 
0.917 1.346 1.346 
0.935 1.793 1.793 
0.835 2.015 2.015 
0.284 2.385 2.385 
0.416 2.287 2.287 
0.467 1.436 1.436 
0.751 2.047 2.047 
0.316 1.325 1.325 
0.784 1.958 1.958 
0.285 1.564 1.564 
0.733 1.947 1.947 
0.601 1.707 1.707 
0.834 2.933 2.933 
0.767 2.057 2.057 
0.918 3.207 3.207 
0.918 2.933 2.933 
0.467 1.095 1.095 
0.767 1.368 1.368 
0.367 0.788 0.788 
0.233 1.258 1.258 
0.801 2.068 2.068 
0.602 2.200 2.200 
0.584 0.875 0.875 
0.934 2.418 2.418 
0.685 1.357 1.357 
0.702 1.269 1.269 
0.885 2.121 2.121 
0.851 3.010 3.010 
0.668 2.768 2.768 
0.351 2.331 2.331 
0.400 2.155 2.155 
0.918 1.555 1.555 
0.233 2.857 2.857 
0.601 1.345 1.345 
0.333 2.682 2.682 
0.984 1.828 1.828 
0.768 2.450 2.450 
0.600 1.870 1.870 
0.585 3.074 3.074 
0.250 2.211 2.211 
0.751 2.899 2.899 
0.232 2.560 2.560 
0.267 1.707 1.707 
0.617 2.824 2.824 
0.284 2.878 2.878 
0.851 0.820 0.820 
0.851 1.127 1.127 
0.784 3.010 3.010 
0.317 1.335 1.335 
0.734 2.549 2.549 
0.618 1.302 1.302 
0.984 0.930 0.930 
0.717 0.766 0.766 
0.850 1.520 1.520 
0.567 1.182 1.182 
0.551 1.761 1.761 
0.869 1.619 1.619 
0.267 3.578 3.578 
0.316 2.101 2.101 
0.349 0.908 0.908 
0.517 1.609 1.609 
0.868 1.981 1.981 
0.851 2.955 2.955 
0.251 2.375 2.375 
0.517 1.575 1.575 
0.618 0.853 0.853 
0.534 1.553 1.553 
0.734 2.713 2.713 
0.702 0.853 0.853 
0.435 2.279 2.279 
0.550 1.423 1.423 
0.217 0.766 0.766 
0.985 0.898 0.898 
0.335 0.866 0.866 
0.284 2.115 2.115 
0.501 2.517 2.517 
0.367 1.487 1.487 
0.600 1.290 1.290 
0.468 1.926 1.926 
0.967 3.316 3.316 
0.934 1.073 1.073 
0.250 0.887 0.887 
0.801 3.382 3.382 
0.417 1.881 1.881 
0.533 2.559 2.559 
0.633 1.248 1.248 
0.950 2.593 2.593 
0.534 1.914 1.914 
0.983 0.766 0.766 
