<><><><><><><><> 
Begin: 06-Feb-2014 15:25:52 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s10 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.518 2.518 
0.267 0.733 0.733 
0.417 0.580 0.580 
0.850 0.984 0.984 
0.234 1.116 1.116 
0.951 0.470 0.470 
0.785 0.974 0.974 
0.601 0.842 0.842 
0.668 0.690 0.690 
0.399 1.434 1.434 
0.568 0.953 0.953 
0.969 0.744 0.744 
0.634 0.657 0.657 
0.618 0.952 0.952 
0.384 1.030 1.030 
0.601 0.733 0.733 
0.702 0.526 0.526 
0.750 1.161 1.161 
0.517 1.116 1.116 
0.501 0.580 0.580 
1.001 0.471 0.471 
0.234 0.525 0.525 
0.918 0.788 0.788 
0.933 1.051 1.051 
0.835 0.908 0.908 
0.284 1.084 1.084 
0.417 1.062 1.062 
0.468 0.810 0.810 
0.750 1.629 1.629 
0.316 1.183 1.183 
0.785 0.591 0.591 
0.284 0.777 0.777 
0.733 1.138 1.138 
0.601 0.547 0.547 
0.834 0.876 0.876 
0.768 0.853 0.853 
0.934 2.353 2.353 
0.918 1.554 1.554 
0.468 0.831 0.831 
0.766 1.597 1.597 
0.367 1.084 1.084 
0.234 1.926 1.926 
0.802 0.602 0.602 
0.602 1.247 1.247 
0.584 1.727 1.727 
0.933 0.624 0.624 
0.685 1.127 1.127 
0.701 0.634 0.634 
0.885 0.787 0.787 
0.852 1.543 1.543 
0.666 1.643 1.643 
0.350 0.974 0.974 
0.400 1.193 1.193 
0.917 1.269 1.269 
0.234 1.072 1.072 
0.601 1.312 1.312 
0.333 0.876 0.876 
0.984 1.882 1.882 
0.767 0.853 0.853 
0.601 1.587 1.587 
0.583 1.138 1.138 
0.250 1.203 1.203 
0.750 1.509 1.509 
0.234 1.237 1.237 
0.267 1.150 1.150 
0.617 0.995 0.995 
0.284 1.237 1.237 
0.852 1.313 1.313 
0.852 1.149 1.149 
0.784 1.105 1.105 
0.316 0.799 0.799 
0.734 0.723 0.723 
0.617 0.712 0.712 
0.985 1.707 1.707 
0.717 0.657 0.657 
0.850 0.897 0.897 
0.568 1.357 1.357 
0.551 1.105 1.105 
0.868 0.635 0.635 
0.268 0.646 0.646 
0.316 0.547 0.547 
0.334 0.700 0.700 
0.517 0.690 0.690 
0.868 0.612 0.612 
0.851 0.635 0.635 
0.250 0.734 0.734 
0.517 0.657 0.657 
0.617 0.525 0.525 
0.534 0.613 0.613 
0.733 1.510 1.510 
0.701 1.435 1.435 
0.434 1.620 1.620 
0.550 1.803 1.803 
0.217 1.527 1.527 
0.984 1.399 1.399 
0.333 1.311 1.311 
0.285 1.115 1.115 
0.501 1.281 1.281 
0.367 1.202 1.202 
0.601 0.710 0.710 
0.467 2.450 2.450 
0.968 1.170 1.170 
0.934 1.378 1.378 
0.250 0.930 0.930 
0.800 0.722 0.722 
0.417 0.853 0.853 
0.533 1.051 1.051 
0.635 0.855 0.855 
0.951 0.799 0.799 
0.535 0.712 0.712 
0.984 0.679 0.679 
