<><><><><><><><> 
Begin: 29-Jan-2014 15:49:28 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s08 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.151 1.151 
0.601 1.521 1.521 
0.468 1.193 1.193 
0.885 0.624 0.624 
0.216 0.788 0.788 
0.951 0.963 0.963 
0.285 0.887 0.887 
1.002 1.544 1.544 
0.601 1.269 1.269 
0.317 1.280 1.280 
0.901 1.719 1.719 
0.417 1.105 1.105 
0.884 0.908 0.908 
0.218 1.357 1.357 
0.568 1.663 1.663 
0.883 1.673 1.673 
0.784 2.058 2.058 
0.984 1.642 1.642 
0.735 1.018 1.018 
0.984 1.762 1.762 
0.366 1.673 1.673 
0.634 1.587 1.587 
0.268 0.777 0.777 
0.850 0.712 0.712 
0.616 0.920 0.920 
0.517 1.763 1.763 
0.533 1.357 1.357 
0.268 1.663 1.663 
0.633 0.919 0.919 
0.550 1.455 1.455 
0.851 0.831 0.831 
0.417 2.123 2.123 
0.552 1.193 1.193 
0.401 0.996 0.996 
0.768 2.561 2.561 
0.250 1.369 1.369 
0.551 1.390 1.390 
0.485 0.930 0.930 
0.767 1.598 1.598 
0.367 0.897 0.897 
0.333 0.821 0.821 
0.818 0.853 0.853 
0.635 2.079 2.079 
0.868 0.799 0.799 
0.267 1.413 1.413 
0.701 3.502 3.502 
0.769 0.931 0.931 
0.635 1.226 1.226 
0.335 2.177 2.177 
0.918 2.298 2.298 
1.001 2.517 2.517 
0.417 0.887 0.887 
0.350 1.138 1.138 
0.634 1.696 1.696 
0.683 1.095 1.095 
0.868 1.029 1.029 
0.701 1.116 1.116 
0.951 1.871 1.871 
0.785 1.708 1.708 
0.952 0.799 0.799 
0.985 1.544 1.544 
0.634 0.876 0.876 
0.384 1.248 1.248 
0.684 0.810 0.810 
0.250 0.964 0.964 
0.918 1.444 1.444 
0.233 1.204 1.204 
0.551 0.996 0.996 
0.833 1.260 1.260 
0.919 2.135 2.135 
0.851 0.997 0.997 
0.717 2.223 2.223 
0.435 1.127 1.127 
0.634 1.171 1.171 
0.768 0.941 0.941 
0.418 1.445 1.445 
0.717 1.127 1.127 
0.601 0.777 0.777 
0.350 0.690 0.690 
0.818 0.842 0.842 
0.218 0.778 0.778 
0.984 0.634 0.634 
0.467 0.590 0.590 
0.484 0.613 0.613 
0.551 0.624 0.624 
0.984 0.711 0.711 
0.633 0.679 0.679 
0.385 1.008 1.008 
0.585 1.083 1.083 
0.584 0.624 0.624 
0.668 1.018 1.018 
0.717 1.576 1.576 
0.668 1.162 1.162 
0.968 0.744 0.744 
0.366 0.886 0.886 
0.367 0.690 0.690 
0.901 1.774 1.774 
0.935 1.696 1.696 
0.850 3.556 3.556 
0.250 0.733 0.733 
0.418 1.849 1.849 
0.350 1.313 1.313 
0.901 2.967 2.967 
0.217 1.795 1.795 
0.567 0.679 0.679 
0.568 0.690 0.690 
0.801 1.138 1.138 
0.951 1.018 1.018 
0.635 0.975 0.975 
0.551 0.722 0.722 
0.250 1.456 1.456 
