<><><><><><><><> 
Begin: 20-Dec-2013 15:13:46 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s02 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.044 1.044 
0.350 1.080 1.080 
0.484 2.024 2.024 
0.250 0.945 0.945 
0.617 1.713 1.713 
0.467 0.968 0.968 
0.350 1.589 1.589 
0.366 2.069 2.069 
0.934 2.359 2.359 
0.751 1.969 1.969 
0.584 2.281 2.281 
0.934 1.391 1.391 
0.283 2.114 2.114 
0.801 2.682 2.682 
0.785 2.503 2.503 
0.651 1.180 1.180 
0.350 3.237 3.237 
0.684 3.627 3.627 
0.450 1.324 1.324 
0.316 2.045 2.045 
0.367 2.292 2.292 
0.918 1.235 1.235 
0.267 1.625 1.625 
0.400 2.359 2.359 
0.250 1.713 1.713 
0.551 2.047 2.047 
0.217 2.739 2.739 
0.918 3.994 4.427 
0.367 2.158 2.158 
0.284 3.849 3.849 
0.450 3.171 3.171 
0.567 1.068 1.068 
0.284 0.457 0.457 
1.001 2.047 2.047 
0.467 1.413 1.413 
0.434 1.813 1.813 
0.250 2.270 2.270 
0.434 1.958 1.958 
0.234 3.138 3.138 
0.601 1.246 1.246 
0.818 1.513 1.513 
0.701 4.005 4.399 
0.267 1.079 1.079 
0.267 1.013 1.013 
0.818 2.450 2.450 
0.934 1.557 1.557 
0.634 2.688 2.688 
0.284 1.644 1.644 
0.868 3.015 3.015 
0.467 4.005 4.878 
0.435 2.046 2.046 
0.801 3.994 4.037 
0.217 2.615 2.615 
0.234 3.204 3.204 
0.734 2.727 2.727 
0.684 3.149 3.149 
0.617 1.280 1.280 
0.784 1.703 1.703 
0.766 2.325 2.325 
0.834 2.336 2.336 
0.434 1.113 1.113 
0.751 2.593 2.593 
0.650 1.480 1.480 
0.517 1.380 1.380 
0.249 0.635 0.635 
0.834 3.983 5.580 
0.467 1.157 1.157 
0.683 3.995 4.037 
0.801 2.025 2.025 
0.284 2.791 2.791 
0.300 4.005 4.321 
0.651 0.278 0.278 
0.584 4.005 4.033 
0.918 1.669 1.669 
0.835 1.179 1.179 
0.784 0.956 0.956 
0.250 3.782 3.782 
0.267 1.168 1.168 
0.267 1.157 1.157 
0.834 1.046 1.046 
0.951 2.292 2.292 
0.751 1.556 1.556 
0.301 1.502 1.502 
0.784 1.079 1.079 
0.283 2.970 2.970 
0.299 2.080 2.080 
0.716 2.236 2.236 
0.466 3.293 3.293 
0.734 1.825 1.825 
0.801 1.447 1.447 
0.667 2.615 2.615 
0.801 2.392 2.392 
0.384 1.479 1.479 
0.784 1.190 1.190 
0.984 2.882 2.882 
0.901 3.994 4.371 
0.267 2.103 2.103 
0.501 2.057 2.057 
0.502 2.245 2.245 
0.751 1.035 1.035 
0.683 1.947 1.947 
0.834 1.935 1.935 
0.499 2.515 2.515 
0.367 1.610 1.610 
0.267 4.005 4.845 
0.819 1.045 1.045 
0.367 3.861 3.861 
0.517 1.758 1.758 
0.650 1.255 1.255 
0.384 1.124 1.124 
0.717 3.994 5.217 
