<><><><><><><><> 
Begin: 20-Dec-2013 15:00:48 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s02 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.836 2.836 
0.348 2.921 2.921 
0.484 2.348 2.348 
0.250 1.981 1.981 
0.617 2.981 2.981 
0.467 3.215 3.215 
0.350 2.458 2.458 
0.367 2.870 2.870 
0.934 2.258 2.258 
0.751 3.772 3.772 
0.583 2.537 2.537 
0.934 2.670 2.670 
0.284 3.393 3.393 
0.801 2.136 2.136 
0.785 2.581 2.581 
0.651 3.026 3.026 
0.350 2.259 2.259 
0.684 1.868 1.868 
0.451 2.425 2.425 
0.317 2.069 2.069 
0.367 3.315 3.315 
0.918 3.883 3.883 
0.267 3.172 3.172 
0.400 3.137 3.137 
0.250 2.399 2.399 
0.551 4.005 4.087 
0.217 2.614 2.614 
0.918 1.389 1.389 
0.367 1.802 1.802 
0.284 1.635 1.635 
0.451 3.148 3.148 
0.567 1.880 1.880 
0.284 1.690 1.690 
1.001 2.749 2.749 
0.467 2.548 2.548 
0.434 2.737 2.737 
0.250 2.014 2.014 
0.434 4.005 6.001 
0.234 3.770 3.770 
0.601 3.757 3.757 
0.818 1.531 1.531 
0.700 2.032 2.032 
0.267 3.234 3.234 
0.267 2.216 2.216 
0.818 1.435 1.435 
0.934 2.479 2.479 
0.634 3.994 4.517 
0.284 1.335 1.335 
0.868 1.389 1.389 
0.467 1.624 1.624 
0.434 1.636 1.636 
0.801 2.025 2.025 
0.217 2.626 2.626 
0.249 1.936 1.936 
0.734 1.324 1.324 
0.685 1.925 1.925 
0.617 1.970 1.970 
0.784 2.192 2.192 
0.768 2.247 2.247 
0.834 2.712 2.712 
0.434 1.380 1.380 
0.751 2.613 2.613 
0.651 3.326 3.326 
0.517 2.569 2.569 
0.250 2.945 2.945 
0.834 2.047 2.047 
0.467 2.392 2.392 
0.684 2.959 2.959 
0.801 2.414 2.414 
0.284 1.424 1.424 
0.300 2.503 2.503 
0.634 2.225 2.225 
0.584 2.626 2.626 
0.918 2.448 2.448 
0.835 3.181 3.181 
0.784 1.669 1.669 
0.250 2.292 2.292 
0.267 2.181 2.181 
0.267 2.893 2.893 
0.834 4.005 4.365 
0.951 1.803 1.803 
0.751 1.736 1.736 
0.301 3.836 3.836 
0.784 1.635 1.635 
0.284 1.825 1.825 
0.300 3.193 3.193 
0.717 3.993 4.873 
0.467 2.092 2.092 
0.718 1.634 1.634 
0.801 1.435 1.435 
0.667 2.337 2.337 
0.801 1.625 1.625 
0.384 1.378 1.378 
0.784 2.348 2.348 
0.984 2.426 2.426 
0.901 3.805 3.805 
0.267 1.591 1.591 
0.501 2.314 2.314 
0.501 1.357 1.357 
0.751 1.057 1.057 
0.684 1.513 1.513 
0.834 2.692 2.692 
0.501 2.448 2.448 
0.367 1.380 1.380 
0.267 2.414 2.414 
0.818 2.570 2.570 
0.367 3.693 3.693 
0.517 2.023 2.023 
0.651 3.981 3.981 
0.384 1.180 1.180 
0.716 3.271 3.271 
