<><><><><><><><> 
Begin: 21-Feb-2014 13:37:53 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s17 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.353 1.353 
0.350 1.204 1.204 
0.499 1.412 1.412 
0.249 1.192 1.192 
0.616 1.597 1.597 
0.467 1.170 1.170 
0.350 2.320 2.320 
0.367 1.499 1.499 
0.933 0.919 0.919 
0.750 1.181 1.181 
0.584 0.875 0.875 
0.935 2.275 2.275 
0.284 1.357 1.357 
0.800 0.787 0.787 
0.784 0.842 0.842 
0.651 1.740 1.740 
0.350 1.937 1.937 
0.684 0.909 0.909 
0.449 1.160 1.160 
0.317 0.776 0.776 
0.368 1.684 1.684 
0.918 1.772 1.772 
0.267 2.297 2.297 
0.400 2.604 2.604 
0.250 1.181 1.181 
0.551 0.865 0.865 
0.217 0.985 0.985 
0.918 1.773 1.773 
0.366 1.236 1.236 
0.283 0.842 0.842 
0.451 0.875 0.875 
0.567 1.664 1.664 
0.284 0.952 0.952 
1.001 0.624 0.624 
0.468 1.456 1.456 
0.433 1.346 1.346 
0.251 1.543 1.543 
0.434 1.532 1.532 
0.234 2.178 2.178 
0.601 1.029 1.029 
0.817 0.591 0.591 
0.702 1.258 1.258 
0.283 1.082 1.082 
0.267 1.607 1.607 
0.818 1.652 1.652 
0.934 1.280 1.280 
0.634 1.095 1.095 
0.284 1.051 1.051 
0.869 1.324 1.324 
0.467 0.788 0.788 
0.433 1.827 1.827 
0.801 1.346 1.346 
0.216 1.664 1.664 
0.233 3.238 3.238 
0.735 1.959 1.959 
0.684 1.182 1.182 
0.617 1.061 1.061 
0.785 1.269 1.269 
0.768 1.740 1.740 
0.833 1.127 1.127 
0.435 2.386 2.386 
0.751 1.029 1.029 
0.652 0.887 0.887 
0.518 0.919 0.919 
0.251 0.110 0.110 
0.834 1.247 1.247 
0.467 0.733 0.733 
0.684 0.788 0.788 
0.801 1.028 1.028 
0.285 0.909 0.909 
0.301 1.127 1.127 
0.651 2.177 2.177 
0.584 1.598 1.598 
0.918 2.615 2.615 
0.850 2.998 2.998 
0.785 0.952 0.952 
0.249 0.897 0.897 
0.267 1.335 1.335 
0.266 2.078 2.078 
0.835 2.495 2.495 
0.952 1.302 1.302 
0.752 1.028 1.028 
0.300 0.952 0.952 
0.784 1.112 1.112 
0.285 1.960 1.960 
0.300 1.617 1.617 
0.718 1.532 1.532 
0.467 0.767 0.767 
0.733 0.613 0.613 
0.802 0.744 0.744 
0.668 1.947 1.947 
0.801 1.347 1.347 
0.384 2.582 2.582 
0.783 1.947 1.947 
0.983 2.210 2.210 
0.901 1.170 1.170 
0.268 1.498 1.498 
0.501 0.810 0.810 
0.502 0.843 0.843 
0.750 0.864 0.864 
0.684 0.438 0.438 
0.833 2.898 2.898 
0.500 0.974 0.974 
0.367 1.510 1.510 
0.268 0.602 0.602 
0.819 1.827 1.827 
0.367 1.970 1.970 
0.518 2.099 2.099 
0.651 0.963 0.963 
0.385 0.810 0.810 
0.716 0.974 0.974 
