<><><><><><><><> 
Begin: 21-Feb-2014 13:29:49 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s17 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.102 1.102 
0.349 0.623 0.623 
0.483 1.378 1.378 
0.251 2.964 2.964 
0.617 1.762 1.762 
0.467 0.734 0.734 
0.350 1.160 1.160 
0.367 1.455 1.455 
0.934 0.624 0.624 
0.751 0.777 0.777 
0.583 1.390 1.390 
0.935 1.696 1.696 
0.285 1.586 1.586 
0.802 1.006 1.006 
0.800 1.094 1.094 
0.651 1.422 1.422 
0.349 1.444 1.444 
0.684 0.755 0.755 
0.449 0.952 0.952 
0.317 0.996 0.996 
0.367 1.412 1.412 
0.918 1.128 1.128 
0.267 1.783 1.783 
0.399 1.379 1.379 
0.250 2.265 2.265 
0.551 1.171 1.171 
0.217 1.325 1.325 
0.917 0.842 0.842 
0.366 1.269 1.269 
0.284 3.129 3.129 
0.450 0.820 0.820 
0.568 0.799 0.799 
0.284 1.215 1.215 
1.001 1.160 1.160 
0.468 0.876 0.876 
0.433 1.435 1.435 
0.251 1.806 1.806 
0.434 1.160 1.160 
0.235 2.375 2.375 
0.601 1.893 1.893 
0.818 1.378 1.378 
0.702 2.125 2.125 
0.267 1.883 1.883 
0.267 1.686 1.686 
0.817 2.594 2.594 
0.934 1.751 1.751 
0.635 1.280 1.280 
0.284 1.554 1.554 
0.868 1.280 1.280 
0.468 0.263 0.263 
0.434 1.094 1.094 
0.801 1.226 1.226 
0.217 1.630 1.630 
0.234 1.346 1.346 
0.735 0.864 0.864 
0.683 1.730 1.730 
0.618 1.422 1.422 
0.783 2.385 2.385 
0.769 1.696 1.696 
0.833 1.215 1.215 
0.433 1.106 1.106 
0.752 0.920 0.920 
0.651 1.193 1.193 
0.517 2.243 2.243 
0.251 1.149 1.149 
0.833 0.941 0.941 
0.468 1.182 1.182 
0.685 0.974 0.974 
0.800 0.864 0.864 
0.284 1.335 1.335 
0.301 1.565 1.565 
0.650 1.171 1.171 
0.583 1.084 1.084 
0.919 0.919 0.919 
0.835 1.543 1.543 
0.783 1.104 1.104 
0.250 1.782 1.782 
0.267 0.919 0.919 
0.267 0.930 0.930 
0.835 1.291 1.291 
0.951 1.017 1.017 
0.752 1.182 1.182 
0.301 4.006 5.640 
0.784 1.861 1.861 
0.284 3.206 3.206 
0.300 0.580 0.580 
0.717 1.390 1.390 
0.468 2.222 2.222 
0.717 0.635 0.635 
0.801 1.334 1.334 
0.667 0.734 0.734 
0.800 0.656 0.656 
0.385 0.941 0.941 
0.785 0.745 0.745 
0.984 0.974 0.974 
0.901 0.722 0.722 
0.268 1.586 1.586 
0.500 1.292 1.292 
0.501 1.248 1.248 
0.750 0.952 0.952 
0.684 0.909 0.909 
0.834 2.233 2.233 
0.502 2.166 2.166 
0.368 1.411 1.411 
0.266 1.510 1.510 
0.819 0.821 0.821 
0.367 1.422 1.422 
0.517 1.861 1.861 
0.650 1.565 1.565 
0.383 2.517 2.517 
0.719 1.227 1.227 
