104,026
119,015
001,083
100,062
070,060
086,117
099,097
007,027
063,069
053,073
089,037
073,108
116,116
042,023
025,049
039,023
034,026
015,045
027,002
040,080
026,101
079,021
037,022
043,008
035,093
016,084
108,020
098,065
011,030
114,067
003,050
052,107
073,058
031,017
012,091
038,003
048,071
041,092
027,013
058,094
110,054
113,061
085,029
030,119
062,014
059,008
089,077
033,118
063,020
070,010
120,082
060,004
111,081
011,086
022,009
025,115
047,083
065,093
002,032
024,053
022,106
067,108
071,079
072,107
031,065
024,025
093,103
014,072
075,105
097,117
056,074
078,042
004,001
098,037
064,051
074,022
111,066
044,099
097,082
045,089
056,048
115,109
039,100
113,018
090,104
093,059
072,057
083,078
002,091
108,068
030,035
096,075
084,096
112,060
050,047
041,072
094,034
110,085
046,112
036,113
054,017
013,059
104,007
088,064
107,001
059,061
051,086
021,110
034,088
109,016
082,036
080,095
088,085
109,052
058,055
006,092
101,090
119,114
049,076
095,003
054,052
047,102
061,033
118,068
043,084
026,033
069,040
013,031
074,007
042,079
112,103
057,120
107,014
049,111
057,102
028,113
050,036
048,056
076,038
066,109
120,114
010,041
068,030
032,100
102,105
029,035
003,119
090,039
007,019
082,009
118,099
040,032
087,120
036,044
060,098
079,056
001,069
103,063
005,028
010,106
103,074
092,073
077,054
080,013
086,024
106,116
005,087
087,012
105,080
023,043
004,094
062,070
071,029
037,044
038,075
023,011
014,064
105,071
017,051
099,039
066,088
046,042
116,104
009,118
021,062
018,016
068,034
055,049
012,089
006,031
091,097
045,098
051,028
019,055
102,096
081,010
067,090
028,018
020,067
106,048
092,095
100,004
117,057
083,043
032,011
094,047
095,006
076,015
061,112
114,115
117,046
085,076
077,002
033,021
035,038
015,101
064,027
009,050
081,040
029,005
065,019
084,046
019,005
101,110
017,041
018,058
008,012
055,053
020,063
016,077
053,045
075,111
096,070
044,087
091,081
008,006
069,078
078,024
052,025
115,066
