<><><><><><><><> 
Begin: 27-Feb-2014 11:51:29 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s23 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.830 0.830 
0.634 1.857 1.857 
0.868 0.631 0.631 
0.885 1.185 1.185 
0.835 0.609 0.609 
0.451 0.624 0.624 
0.567 1.315 1.315 
0.801 1.854 1.854 
0.284 0.546 0.546 
0.283 0.527 0.527 
0.417 0.512 0.512 
0.618 1.144 1.144 
0.985 1.639 1.639 
0.767 1.723 1.723 
0.451 0.778 0.778 
0.434 0.728 0.728 
0.884 1.457 1.457 
0.934 0.704 0.704 
0.717 0.645 0.645 
0.416 0.613 0.613 
0.267 0.637 0.637 
0.867 0.637 0.637 
0.667 0.555 0.555 
0.968 0.658 0.658 
0.251 1.400 1.400 
0.668 0.673 0.673 
0.433 0.576 0.576 
0.868 0.631 0.631 
0.350 0.960 0.960 
0.550 0.541 0.541 
0.517 0.633 0.633 
0.868 1.168 1.168 
0.751 0.618 0.618 
0.367 0.553 0.553 
0.450 0.665 0.665 
0.316 1.400 1.400 
0.734 0.941 0.941 
0.667 1.144 1.144 
0.334 0.968 0.968 
0.317 0.593 0.593 
0.584 0.513 0.513 
0.934 0.682 0.682 
0.651 0.552 0.552 
0.234 0.632 0.632 
0.250 0.490 0.490 
0.851 0.300 0.300 
0.567 0.746 0.746 
0.517 2.432 2.432 
0.836 1.949 1.949 
0.500 0.637 0.637 
0.634 0.825 0.825 
0.767 0.697 0.697 
0.902 0.620 0.620 
0.467 1.617 1.617 
0.718 1.919 1.919 
0.985 2.436 2.436 
0.267 1.175 1.175 
0.667 0.840 0.840 
0.535 1.225 1.225 
0.450 3.684 3.684 
0.417 0.882 0.882 
0.818 1.292 1.292 
1.001 0.825 0.825 
0.350 0.953 0.953 
0.834 0.610 0.610 
0.367 1.178 1.178 
1.002 0.898 0.898 
0.851 0.873 0.873 
0.551 0.785 0.785 
0.785 1.045 1.045 
0.601 0.886 0.886 
0.851 0.877 0.877 
0.484 1.644 1.644 
0.267 1.521 1.521 
0.683 1.660 1.660 
0.934 1.065 1.065 
0.366 0.790 0.790 
0.551 3.178 3.178 
0.801 0.975 0.975 
0.234 1.325 1.325 
0.967 0.768 0.768 
0.818 1.115 1.115 
0.651 1.717 1.717 
0.350 2.573 2.573 
0.601 0.934 0.934 
0.619 1.877 1.877 
1.001 2.040 2.040 
0.885 1.191 1.191 
0.967 0.882 0.882 
0.751 0.945 0.945 
0.534 1.195 1.195 
0.951 0.728 0.728 
0.583 0.995 0.995 
0.383 1.982 1.982 
0.517 1.721 1.721 
0.767 1.545 1.545 
0.650 0.813 0.813 
0.817 0.897 0.897 
1.001 0.884 0.884 
0.968 1.105 1.105 
0.634 0.878 0.878 
0.967 1.851 1.851 
0.300 1.000 1.000 
0.250 0.985 0.985 
0.451 0.847 0.847 
0.667 0.740 0.740 
0.633 0.856 0.856 
0.918 0.598 0.598 
0.634 1.577 1.577 
0.551 1.024 1.024 
0.634 2.587 2.587 
