<><><><><><><><> 
Begin: 27-Feb-2014 11:43:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s23 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.255 2.255 
0.632 2.618 2.618 
0.868 1.863 1.863 
0.884 1.010 1.010 
0.835 1.112 1.112 
0.450 1.313 1.313 
0.567 0.679 0.679 
0.800 2.550 2.550 
0.284 1.122 1.122 
0.284 1.412 1.412 
0.418 2.804 2.804 
0.617 1.107 1.107 
0.985 1.181 1.181 
0.768 2.197 2.197 
0.450 2.183 2.183 
0.435 2.075 2.075 
0.884 1.087 1.087 
0.935 1.449 1.449 
0.718 1.040 1.040 
0.400 0.896 0.896 
0.267 0.796 0.796 
0.868 1.936 1.936 
0.668 1.238 1.238 
0.968 1.336 1.336 
0.250 0.793 0.793 
0.668 1.283 1.283 
0.435 1.010 1.010 
0.867 2.339 2.339 
0.351 1.409 1.409 
0.551 2.312 2.312 
0.517 2.354 2.354 
0.868 1.197 1.197 
0.751 1.933 1.933 
0.367 2.158 2.158 
0.467 1.993 1.993 
0.317 0.997 0.997 
0.734 2.155 2.155 
0.667 1.456 1.456 
0.334 0.686 0.686 
0.317 0.964 0.964 
0.584 1.078 1.078 
0.933 0.537 0.537 
0.650 0.767 0.767 
0.235 1.268 1.268 
0.250 2.481 2.481 
0.851 1.778 1.778 
0.568 0.800 0.800 
0.517 0.770 0.770 
0.834 1.039 1.039 
0.500 0.622 0.622 
0.634 1.817 1.817 
0.768 1.995 1.995 
0.901 1.641 1.641 
0.468 0.769 0.769 
0.717 1.169 1.169 
0.985 0.766 0.766 
0.267 0.618 0.618 
0.667 1.865 1.865 
0.533 1.672 1.672 
0.451 0.770 0.770 
0.417 0.670 0.670 
0.817 0.885 0.885 
1.001 1.574 1.574 
0.350 1.273 1.273 
0.833 1.656 1.656 
0.367 2.487 2.487 
1.002 0.703 0.703 
0.851 0.525 0.525 
0.551 1.502 1.502 
0.784 0.993 0.993 
0.601 0.840 0.840 
0.852 1.460 1.460 
0.484 0.806 0.806 
0.267 1.352 1.352 
0.684 0.850 0.850 
0.934 1.679 1.679 
0.366 1.781 1.781 
0.551 1.239 1.239 
0.801 1.297 1.297 
0.234 0.898 0.898 
0.968 1.782 1.782 
0.818 0.661 0.661 
0.650 1.681 1.681 
0.350 0.806 0.806 
0.600 0.777 0.777 
0.617 0.614 0.614 
1.001 1.851 1.851 
0.885 0.668 0.668 
0.969 0.707 0.707 
0.750 0.797 0.797 
0.533 1.526 1.526 
0.950 0.913 0.913 
0.584 0.866 0.866 
0.384 0.541 0.541 
0.517 0.510 0.510 
0.768 1.442 1.442 
0.650 1.388 1.388 
0.817 1.509 1.509 
1.001 1.435 1.435 
0.968 1.355 1.355 
0.635 2.109 2.109 
0.967 0.995 0.995 
0.300 0.607 0.607 
0.249 0.865 0.865 
0.451 0.661 0.661 
0.668 0.639 0.639 
0.633 2.052 2.052 
0.918 1.628 1.628 
0.635 3.310 3.310 
0.550 0.705 0.705 
0.633 2.283 2.283 
