<><><><><><><><> 
Begin: 14-Jan-2014 21:14:55 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s05 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.037 3.037 
0.349 1.018 1.018 
0.485 0.591 0.591 
0.250 0.832 0.832 
0.617 0.811 0.811 
0.467 0.690 0.690 
0.350 0.635 0.635 
0.368 2.223 2.223 
0.934 1.171 1.171 
0.751 1.204 1.204 
0.584 0.614 0.614 
0.934 1.106 1.106 
0.284 1.127 1.127 
0.802 1.182 1.182 
0.784 1.412 1.412 
0.652 1.128 1.128 
0.350 1.730 1.730 
0.684 0.909 0.909 
0.451 1.467 1.467 
0.317 0.898 0.898 
0.368 1.971 1.971 
0.917 0.908 0.908 
0.267 1.215 1.215 
0.400 1.892 1.892 
0.250 1.664 1.664 
0.551 1.708 1.708 
0.218 0.997 0.997 
0.917 0.854 0.854 
0.366 1.018 1.018 
0.284 2.562 2.562 
0.450 1.073 1.073 
0.568 1.871 1.871 
0.284 1.434 1.434 
1.001 0.953 0.953 
0.466 1.117 1.117 
0.435 0.964 0.964 
0.251 1.281 1.281 
0.434 1.510 1.510 
0.234 1.094 1.094 
0.601 1.817 1.817 
0.818 0.941 0.941 
0.700 1.095 1.095 
0.267 1.040 1.040 
0.268 0.964 0.964 
0.817 0.866 0.866 
0.934 1.150 1.150 
0.634 0.865 0.865 
0.283 0.811 0.811 
0.869 0.821 0.821 
0.467 0.931 0.931 
0.434 1.303 1.303 
0.801 0.788 0.788 
0.217 0.942 0.942 
0.233 0.974 0.974 
0.735 0.986 0.986 
0.684 1.226 1.226 
0.617 3.143 3.143 
0.785 1.325 1.325 
0.767 0.865 0.865 
0.833 0.800 0.800 
0.434 0.964 0.964 
0.751 0.766 0.766 
0.652 0.778 0.778 
0.517 0.766 0.766 
0.251 1.807 1.807 
0.834 1.128 1.128 
0.467 0.866 0.866 
0.685 1.401 1.401 
0.801 1.609 1.609 
0.284 0.810 0.810 
0.300 0.843 0.843 
0.635 0.887 0.887 
0.584 0.646 0.646 
0.917 1.620 1.620 
0.850 1.018 1.018 
0.785 1.171 1.171 
0.250 1.051 1.051 
0.267 0.996 0.996 
0.266 0.854 0.854 
0.835 1.007 1.007 
0.951 1.369 1.369 
0.751 0.886 0.886 
0.301 0.734 0.734 
0.784 0.711 0.711 
0.285 0.887 0.887 
0.301 0.909 0.909 
0.718 0.963 0.963 
0.468 0.756 0.756 
0.733 0.843 0.843 
0.802 1.292 1.292 
0.666 0.964 0.964 
0.801 0.745 0.745 
0.384 0.602 0.602 
0.784 0.787 0.787 
0.983 0.602 0.602 
0.901 0.941 0.941 
0.267 1.084 1.084 
0.500 1.028 1.028 
0.501 0.810 0.810 
0.752 1.029 1.029 
0.684 0.810 0.810 
0.834 0.580 0.580 
0.501 0.712 0.712 
0.368 1.905 1.905 
0.267 0.920 0.920 
0.818 0.734 0.734 
0.367 0.745 0.745 
0.518 0.734 0.734 
0.651 1.193 1.193 
0.383 1.226 1.226 
0.717 1.281 1.281 
