<><><><><><><><> 
Begin: 14-Jan-2014 21:22:51 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s05 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.669 0.669 
0.351 0.733 0.733 
0.483 0.690 0.690 
0.251 0.810 0.810 
0.616 0.471 0.471 
0.467 0.679 0.679 
0.349 0.930 0.930 
0.366 1.007 1.007 
0.933 1.007 1.007 
0.751 1.171 1.171 
0.584 1.193 1.193 
0.934 1.280 1.280 
0.284 1.281 1.281 
0.799 1.367 1.367 
0.785 1.280 1.280 
0.652 0.766 0.766 
0.351 1.215 1.215 
0.684 1.193 1.193 
0.450 0.974 0.974 
0.317 1.040 1.040 
0.368 1.455 1.455 
0.919 0.690 0.690 
0.267 0.942 0.942 
0.399 1.336 1.336 
0.250 0.952 0.952 
0.552 0.722 0.722 
0.218 1.007 1.007 
0.918 0.920 0.920 
0.366 1.161 1.161 
0.283 0.832 0.832 
0.451 0.800 0.800 
0.568 0.767 0.767 
0.285 1.368 1.368 
1.002 1.061 1.061 
0.467 0.701 0.701 
0.434 1.051 1.051 
0.251 0.843 0.843 
0.450 1.084 1.084 
0.234 1.127 1.127 
0.601 0.996 0.996 
0.817 0.821 0.821 
0.701 0.799 0.799 
0.267 0.668 0.668 
0.268 0.887 0.887 
0.819 1.204 1.204 
0.934 0.930 0.930 
0.634 0.559 0.559 
0.285 0.942 0.942 
0.868 0.733 0.733 
0.467 0.952 0.952 
0.434 0.931 0.931 
0.800 0.810 0.810 
0.217 0.843 0.843 
0.235 0.985 0.985 
0.734 0.952 0.952 
0.685 1.095 1.095 
0.617 0.953 0.953 
0.785 1.171 1.171 
0.769 0.679 0.679 
0.833 0.504 0.504 
0.435 0.919 0.919 
0.750 0.678 0.678 
0.651 0.810 0.810 
0.517 0.920 0.920 
0.251 1.346 1.346 
0.834 1.401 1.401 
0.468 1.248 1.248 
0.685 0.745 0.745 
0.801 0.777 0.777 
0.283 1.259 1.259 
0.301 0.854 0.854 
0.650 1.664 1.664 
0.584 3.098 3.098 
0.919 0.930 0.930 
0.850 0.787 0.787 
0.785 1.072 1.072 
0.250 1.062 1.062 
0.267 0.974 0.974 
0.267 1.466 1.466 
0.836 0.908 0.908 
0.951 0.789 0.789 
0.752 0.876 0.876 
0.316 0.930 0.930 
0.785 0.876 0.876 
0.283 0.745 0.745 
0.301 0.602 0.602 
0.717 0.821 0.821 
0.467 0.722 0.722 
0.733 0.722 0.722 
0.802 0.645 0.645 
0.667 0.613 0.613 
0.801 0.931 0.931 
0.383 0.734 0.734 
0.785 1.161 1.161 
0.984 0.668 0.668 
0.902 0.493 0.493 
0.266 0.559 0.559 
0.501 0.733 0.733 
0.502 0.635 0.635 
0.752 1.686 1.686 
0.684 0.756 0.756 
0.835 0.821 0.821 
0.502 0.722 0.722 
0.367 0.810 0.810 
0.268 0.745 0.745 
0.819 0.668 0.668 
0.366 0.646 0.646 
0.517 0.569 0.569 
0.650 0.678 0.678 
0.384 0.898 0.898 
0.717 0.679 0.679 
