<><><><><><><><> 
Begin: 10-Mar-2014 13:49:34 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s35 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.154 1.154 
0.266 1.356 1.356 
0.417 1.502 1.502 
0.851 2.016 2.016 
0.233 0.991 0.991 
0.951 1.655 1.655 
0.785 1.607 1.607 
0.600 1.317 1.317 
0.668 1.089 1.089 
0.400 1.674 1.674 
0.568 1.076 1.076 
0.968 1.239 1.239 
0.634 1.556 1.556 
0.618 2.213 2.213 
0.384 1.683 1.683 
0.601 1.832 1.832 
0.701 1.700 1.700 
0.751 1.852 1.852 
0.518 1.580 1.580 
0.502 1.451 1.451 
1.000 2.300 2.300 
0.234 1.338 1.338 
0.917 1.449 1.449 
0.934 2.044 2.044 
0.834 1.512 1.512 
0.284 1.593 1.593 
0.417 2.143 2.143 
0.467 2.306 2.306 
0.750 2.158 2.158 
0.317 1.572 1.572 
0.785 2.336 2.336 
0.284 2.110 2.110 
0.734 2.385 2.385 
0.601 1.877 1.877 
0.834 2.565 2.565 
0.784 2.828 2.828 
0.934 2.815 2.815 
0.918 1.317 1.317 
0.467 2.048 2.048 
0.767 2.641 2.641 
0.367 1.183 1.183 
0.234 2.523 2.523 
0.801 2.463 2.463 
0.601 1.158 1.158 
0.584 1.280 1.280 
0.934 2.150 2.150 
0.684 1.346 1.346 
0.701 2.324 2.324 
0.885 1.208 1.208 
0.850 1.813 1.813 
0.668 1.872 1.872 
0.351 1.966 1.966 
0.400 1.030 1.030 
0.917 1.562 1.562 
0.233 1.016 1.016 
0.601 3.770 3.770 
0.334 2.722 2.722 
0.985 1.916 1.916 
0.768 1.561 1.561 
0.601 1.963 1.963 
0.584 1.255 1.255 
0.250 2.738 2.738 
0.751 1.399 1.399 
0.234 1.757 1.757 
0.267 2.585 2.585 
0.618 3.302 3.302 
0.284 2.195 2.195 
0.851 2.805 2.805 
0.852 4.000 4.353 
0.785 2.081 2.081 
0.318 1.696 1.696 
0.735 1.125 1.125 
0.617 1.555 1.555 
0.985 2.253 2.253 
0.718 2.081 2.081 
0.851 1.636 1.636 
0.567 1.643 1.643 
0.550 1.758 1.758 
0.867 1.184 1.184 
0.268 1.545 1.545 
0.316 1.953 1.953 
0.350 1.436 1.436 
0.517 2.537 2.537 
0.868 1.496 1.496 
0.850 2.423 2.423 
0.250 1.716 1.716 
0.517 1.227 1.227 
0.618 2.560 2.560 
0.534 1.156 1.156 
0.734 1.152 1.152 
0.701 1.004 1.004 
0.434 1.158 1.158 
0.551 1.500 1.500 
0.217 1.824 1.824 
0.985 1.154 1.154 
0.334 1.514 1.514 
0.284 2.028 2.028 
0.501 1.439 1.439 
0.366 1.253 1.253 
0.601 1.693 1.693 
0.467 1.828 1.828 
0.968 1.249 1.249 
0.934 1.372 1.372 
0.250 2.031 2.031 
0.800 1.462 1.462 
0.417 0.823 0.823 
0.533 1.684 1.684 
0.633 1.078 1.078 
0.952 1.569 1.569 
0.533 1.270 1.270 
0.985 1.702 1.702 
