<><><><><><><><> 
Begin: 10-Mar-2014 13:59:24 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s35 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.533 1.533 
0.267 0.910 0.910 
0.418 1.268 1.268 
0.851 0.933 0.933 
0.233 1.235 1.235 
0.951 1.592 1.592 
0.785 2.606 2.606 
0.600 1.207 1.207 
0.668 1.423 1.423 
0.400 1.155 1.155 
0.568 1.358 1.358 
0.968 3.070 3.070 
0.634 2.089 2.089 
0.617 1.532 1.532 
0.384 1.268 1.268 
0.601 1.027 1.027 
0.700 0.669 0.669 
0.751 2.609 2.609 
0.518 1.392 1.392 
0.501 2.916 2.916 
1.001 1.711 1.711 
0.234 1.518 1.518 
0.917 1.721 1.721 
0.934 1.042 1.042 
0.834 1.342 1.342 
0.283 1.211 1.211 
0.417 3.020 3.020 
0.468 1.723 1.723 
0.750 0.990 0.990 
0.317 1.031 1.031 
0.785 1.232 1.232 
0.284 1.399 1.399 
0.733 1.171 1.171 
0.601 1.355 1.355 
0.834 1.524 1.524 
0.767 1.994 1.994 
0.934 1.457 1.457 
0.918 1.979 1.979 
0.467 0.862 0.862 
0.767 1.306 1.306 
0.367 1.222 1.222 
0.233 1.886 1.886 
0.801 1.161 1.161 
0.600 1.246 1.246 
0.585 1.135 1.135 
0.934 1.083 1.083 
0.683 1.450 1.450 
0.701 1.472 1.472 
0.883 2.689 2.689 
0.851 1.469 1.469 
0.667 0.891 0.891 
0.351 2.597 2.597 
0.401 1.677 1.677 
0.917 1.319 1.319 
0.234 1.786 1.786 
0.601 1.676 1.676 
0.334 1.295 1.295 
0.984 1.192 1.192 
0.768 1.318 1.318 
0.601 2.262 2.262 
0.585 1.642 1.642 
0.251 1.007 1.007 
0.750 1.695 1.695 
0.235 2.869 2.869 
0.267 1.077 1.077 
0.618 1.649 1.649 
0.284 1.436 1.436 
0.851 1.266 1.266 
0.850 1.148 1.148 
0.784 1.567 1.567 
0.317 1.235 1.235 
0.734 0.983 0.983 
0.618 0.886 0.886 
0.984 1.123 1.123 
0.717 2.505 2.505 
0.850 1.333 1.333 
0.568 1.148 1.148 
0.550 1.329 1.329 
0.867 1.605 1.605 
0.268 1.051 1.051 
0.317 1.710 1.710 
0.350 2.375 2.375 
0.518 0.980 0.980 
0.867 1.921 1.921 
0.851 1.090 1.090 
0.251 1.255 1.255 
0.517 1.292 1.292 
0.617 2.268 2.268 
0.534 1.655 1.655 
0.734 1.402 1.402 
0.701 0.852 0.852 
0.434 1.224 1.224 
0.551 1.126 1.126 
0.217 1.197 1.197 
0.984 1.821 1.821 
0.334 1.307 1.307 
0.284 0.929 0.929 
0.501 1.233 1.233 
0.367 1.138 1.138 
0.600 1.926 1.926 
0.483 1.211 1.211 
0.968 1.518 1.518 
0.935 1.057 1.057 
0.250 1.222 1.222 
0.801 1.279 1.279 
0.417 1.033 1.033 
0.534 1.221 1.221 
0.634 1.264 1.264 
0.950 1.616 1.616 
0.534 1.172 1.172 
0.985 1.724 1.724 
