<><><><><><><><> 
Begin: 06-Feb-2014 12:13:15 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s09 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.778 0.778 
0.350 1.042 1.042 
0.484 0.877 0.877 
0.251 1.008 1.008 
0.617 1.086 1.086 
0.467 0.527 0.527 
0.350 0.767 0.767 
0.368 2.916 2.916 
0.934 0.855 0.855 
0.751 0.977 0.977 
0.584 0.878 0.878 
0.933 1.688 1.688 
0.284 1.701 1.701 
0.802 0.844 0.844 
0.784 1.195 1.195 
0.652 0.614 0.614 
0.351 1.283 1.283 
0.684 1.206 1.206 
0.450 0.910 0.910 
0.317 0.670 0.670 
0.368 0.669 0.669 
0.918 1.327 1.327 
0.267 0.866 0.866 
0.401 1.283 1.283 
0.250 1.293 1.293 
0.551 1.131 1.131 
0.216 1.098 1.098 
0.917 0.658 0.658 
0.367 1.447 1.447 
0.284 1.065 1.065 
0.452 0.734 0.734 
0.566 1.350 1.350 
0.284 0.692 0.692 
1.000 1.196 1.196 
0.468 1.239 1.239 
0.435 0.867 0.867 
0.251 1.569 1.569 
0.434 0.878 0.878 
0.234 1.974 1.974 
0.599 1.151 1.151 
0.817 1.919 1.919 
0.702 1.141 1.141 
0.268 1.449 1.449 
0.266 1.229 1.229 
0.818 1.054 1.054 
0.933 1.351 1.351 
0.635 1.393 1.393 
0.285 0.867 0.867 
0.867 1.020 1.020 
0.467 1.416 1.416 
0.434 0.867 0.867 
0.801 0.735 0.735 
0.217 1.625 1.625 
0.250 0.756 0.756 
0.734 0.714 0.714 
0.684 0.856 0.856 
0.616 0.669 0.669 
0.785 1.975 1.975 
0.767 1.348 1.348 
0.833 0.691 0.691 
0.434 0.679 0.679 
0.751 1.097 1.097 
0.650 0.691 0.691 
0.518 0.977 0.977 
0.251 0.725 0.725 
0.834 0.753 0.753 
0.467 1.050 1.050 
0.683 1.160 1.160 
0.801 0.658 0.658 
0.285 0.746 0.746 
0.300 1.183 1.183 
0.650 1.339 1.339 
0.584 1.010 1.010 
0.918 0.746 0.746 
0.834 0.768 0.768 
0.785 1.855 1.855 
0.250 0.911 0.911 
0.267 1.207 1.207 
0.268 1.305 1.305 
0.835 1.316 1.316 
0.951 1.339 1.339 
0.751 0.953 0.953 
0.301 0.603 0.603 
0.784 1.151 1.151 
0.285 1.316 1.316 
0.300 0.956 0.956 
0.716 0.527 0.527 
0.466 0.779 0.779 
0.733 1.009 1.009 
0.800 1.316 1.316 
0.668 0.998 0.998 
0.800 0.779 0.779 
0.384 1.108 1.108 
0.784 1.185 1.185 
0.984 0.681 0.681 
0.901 0.801 0.801 
0.267 0.866 0.866 
0.501 0.658 0.658 
0.501 1.064 1.064 
0.750 0.658 0.658 
0.684 1.654 1.654 
0.834 0.812 0.812 
0.501 0.735 0.735 
0.366 1.293 1.293 
0.268 2.269 2.269 
0.818 1.709 1.709 
0.367 0.647 0.647 
0.517 0.636 0.636 
0.649 1.317 1.317 
0.385 0.648 0.648 
0.718 0.965 0.965 
