<><><><><><><><> 
Begin: 03-Mar-2014 17:44:25 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s26 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.432 1.432 
0.349 1.220 1.220 
0.484 1.412 1.412 
0.250 0.918 0.918 
0.618 0.851 0.851 
0.468 1.333 1.333 
0.350 1.154 1.154 
0.367 1.348 1.348 
0.934 1.283 1.283 
0.751 1.208 1.208 
0.583 2.399 2.399 
0.935 1.647 1.647 
0.283 1.460 1.460 
0.800 1.223 1.223 
0.801 1.583 1.583 
0.651 1.176 1.176 
0.350 1.693 1.693 
0.685 1.616 1.616 
0.450 1.525 1.525 
0.316 1.683 1.683 
0.366 0.978 0.978 
0.918 1.382 1.382 
0.267 1.538 1.538 
0.400 1.309 1.309 
0.251 1.570 1.570 
0.551 1.624 1.624 
0.217 1.534 1.534 
0.918 1.773 1.773 
0.367 1.252 1.252 
0.283 1.337 1.337 
0.451 1.513 1.513 
0.567 1.706 1.706 
0.284 1.577 1.577 
1.001 1.268 1.268 
0.467 1.460 1.460 
0.450 1.100 1.100 
0.251 0.970 0.970 
0.450 1.369 1.369 
0.235 1.845 1.845 
0.600 1.249 1.249 
0.818 1.317 1.317 
0.700 1.093 1.093 
0.267 1.371 1.371 
0.267 0.787 0.787 
0.834 1.627 1.627 
0.934 0.932 0.932 
0.634 1.610 1.610 
0.284 0.934 0.934 
0.868 1.118 1.118 
0.468 1.766 1.766 
0.434 1.981 1.981 
0.801 1.094 1.094 
0.217 1.464 1.464 
0.250 1.752 1.752 
0.734 1.568 1.568 
0.685 1.573 1.573 
0.616 1.380 1.380 
0.784 1.606 1.606 
0.767 1.283 1.283 
0.834 2.792 2.792 
0.434 1.819 1.819 
0.752 1.060 1.060 
0.652 1.357 1.357 
0.518 1.957 1.957 
0.250 2.321 2.321 
0.834 1.871 1.871 
0.467 1.057 1.057 
0.684 1.666 1.666 
0.802 1.849 1.849 
0.284 1.826 1.826 
0.300 1.424 1.424 
0.650 2.034 2.034 
0.600 1.229 1.229 
0.918 1.240 1.240 
0.850 1.564 1.564 
0.784 1.649 1.649 
0.249 1.369 1.369 
0.267 1.171 1.171 
0.267 1.496 1.496 
0.850 1.102 1.102 
0.951 1.638 1.638 
0.751 1.163 1.163 
0.317 1.399 1.399 
0.784 1.157 1.157 
0.284 1.168 1.168 
0.300 1.534 1.534 
0.718 1.469 1.469 
0.468 1.635 1.635 
0.734 1.538 1.538 
0.802 1.803 1.803 
0.668 1.783 1.783 
0.801 1.475 1.475 
0.383 1.275 1.275 
0.800 1.498 1.498 
0.984 1.235 1.235 
0.901 1.567 1.567 
0.267 1.471 1.471 
0.501 1.485 1.485 
0.501 1.263 1.263 
0.751 1.332 1.332 
0.684 1.285 1.285 
0.834 1.644 1.644 
0.500 2.686 2.686 
0.368 2.314 2.314 
0.267 1.637 1.637 
0.818 1.393 1.393 
0.366 1.208 1.208 
0.517 0.960 0.960 
0.651 2.088 2.088 
0.384 0.976 0.976 
0.718 1.348 1.348 
