<><><><><><><><> 
Begin: 26-Feb-2014 13:44:29 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s21 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.048 1.048 
0.350 1.978 1.978 
0.500 1.431 1.431 
0.250 1.461 1.461 
0.617 1.241 1.241 
0.468 1.528 1.528 
0.349 1.099 1.099 
0.368 1.644 1.644 
0.934 1.892 1.892 
0.750 2.814 2.814 
0.584 1.561 1.561 
0.934 1.000 1.000 
0.284 2.257 2.257 
0.801 2.309 2.309 
0.785 1.252 1.252 
0.651 1.180 1.180 
0.350 0.860 0.860 
0.685 0.700 0.700 
0.451 1.378 1.378 
0.317 1.105 1.105 
0.366 1.247 1.247 
0.918 1.524 1.524 
0.266 1.931 1.931 
0.401 1.801 1.801 
0.251 2.047 2.047 
0.551 0.792 0.792 
0.217 1.505 1.505 
0.918 0.931 0.931 
0.367 1.424 1.424 
0.284 1.547 1.547 
0.450 1.515 1.515 
0.567 0.701 0.701 
0.284 0.635 0.635 
1.001 0.973 0.973 
0.468 1.127 1.127 
0.450 1.463 1.463 
0.251 1.329 1.329 
0.435 0.744 0.744 
0.234 1.066 1.066 
0.600 0.902 0.902 
0.818 1.035 1.035 
0.701 1.239 1.239 
0.283 1.302 1.302 
0.267 1.398 1.398 
0.834 0.994 0.994 
0.934 1.090 1.090 
0.634 0.996 0.996 
0.284 1.429 1.429 
0.869 3.987 4.016 
0.468 3.908 3.908 
0.435 1.451 1.451 
0.801 1.257 1.257 
0.216 1.133 1.133 
0.250 0.873 0.873 
0.735 1.328 1.328 
0.684 0.657 0.657 
0.618 1.067 1.067 
0.785 0.659 0.659 
0.768 0.667 0.667 
0.834 0.549 0.549 
0.433 0.551 0.551 
0.752 0.518 0.518 
0.651 0.731 0.731 
0.517 0.809 0.809 
0.250 0.660 0.660 
0.833 0.453 0.453 
0.468 0.532 0.532 
0.685 0.741 0.741 
0.801 0.695 0.695 
0.284 0.743 0.743 
0.300 1.077 1.077 
0.650 0.636 0.636 
0.583 2.230 2.230 
0.918 1.041 1.041 
0.850 2.764 2.764 
0.785 1.206 1.206 
0.249 1.414 1.414 
0.267 1.468 1.468 
0.268 1.156 1.156 
0.850 0.539 0.539 
0.952 0.456 0.456 
0.751 1.439 1.439 
0.316 3.985 4.362 
0.784 1.695 1.695 
0.300 1.136 1.136 
0.301 1.011 1.011 
0.718 1.113 1.113 
0.467 0.672 0.672 
0.733 0.872 0.872 
0.801 1.094 1.094 
0.667 1.396 1.396 
0.800 0.489 0.489 
0.384 1.067 1.067 
0.784 0.870 0.870 
0.984 0.539 0.539 
0.901 1.217 1.217 
0.268 0.576 0.576 
0.501 0.536 0.536 
0.501 0.803 0.803 
0.751 0.873 0.873 
0.684 0.657 0.657 
0.835 0.766 0.766 
0.501 0.807 0.807 
0.367 1.358 1.358 
0.268 0.873 0.873 
0.818 1.221 1.221 
0.367 0.749 0.749 
0.517 1.098 1.098 
0.650 0.782 0.782 
0.384 0.872 0.872 
0.718 1.449 1.449 
