<><><><><><><><> 
Begin: 04-Mar-2014 12:46:07 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s27 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.987 1.987 
0.349 1.725 1.725 
0.484 1.331 1.331 
0.250 1.776 1.776 
0.617 1.993 1.993 
0.468 1.246 1.246 
0.350 1.201 1.201 
0.368 1.047 1.047 
0.934 1.642 1.642 
0.751 2.001 2.001 
0.584 1.886 1.886 
0.935 1.010 1.010 
0.284 1.170 1.170 
0.802 0.823 0.823 
0.800 0.781 0.781 
0.651 1.342 1.342 
0.351 1.263 1.263 
0.684 0.744 0.744 
0.450 1.319 1.319 
0.317 1.327 1.327 
0.367 1.852 1.852 
0.919 1.841 1.841 
0.266 2.413 2.413 
0.400 2.859 2.859 
0.250 1.819 1.819 
0.551 1.489 1.489 
0.217 0.880 0.880 
0.918 1.532 1.532 
0.367 2.811 2.811 
0.284 1.429 1.429 
0.450 1.005 1.005 
0.567 2.976 2.976 
0.284 2.797 2.797 
1.002 2.554 2.554 
0.467 0.964 0.964 
0.433 1.254 1.254 
0.250 1.645 1.645 
0.451 1.453 1.453 
0.234 1.634 1.634 
0.601 1.399 1.399 
0.817 1.492 1.492 
0.701 1.959 1.959 
0.283 1.953 1.953 
0.267 1.572 1.572 
0.834 2.592 2.592 
0.934 1.790 1.790 
0.634 1.949 1.949 
0.283 2.770 2.770 
0.868 2.389 2.389 
0.466 1.183 1.183 
0.433 2.529 2.529 
0.801 2.927 2.927 
0.217 1.809 1.809 
0.250 2.313 2.313 
0.735 2.965 2.965 
0.685 2.126 2.126 
0.617 2.259 2.259 
0.784 1.947 1.947 
0.768 2.519 2.519 
0.834 2.049 2.049 
0.433 2.308 2.308 
0.750 1.820 1.820 
0.651 1.459 1.459 
0.518 1.531 1.531 
0.250 2.266 2.266 
0.834 2.340 2.340 
0.467 2.236 2.236 
0.685 2.499 2.499 
0.801 1.689 1.689 
0.284 1.656 1.656 
0.300 1.836 1.836 
0.651 3.990 4.205 
0.584 1.715 1.715 
0.918 2.109 2.109 
0.851 1.891 1.891 
0.784 2.641 2.641 
0.250 1.884 1.884 
0.267 0.771 0.771 
0.267 1.972 1.972 
0.835 1.919 1.919 
0.952 1.490 1.490 
0.751 3.012 3.012 
0.301 2.444 2.444 
0.785 1.428 1.428 
0.284 1.349 1.349 
0.301 2.704 2.704 
0.717 1.356 1.356 
0.468 0.753 0.753 
0.734 1.858 1.858 
0.801 1.284 1.284 
0.668 3.085 3.085 
0.801 1.392 1.392 
0.384 0.814 0.814 
0.784 0.924 0.924 
0.984 1.167 1.167 
0.901 2.681 2.681 
0.267 2.219 2.219 
0.501 1.278 1.278 
0.500 1.598 1.598 
0.751 2.366 2.366 
0.683 1.137 1.137 
0.835 3.227 3.227 
0.502 2.322 2.322 
0.368 1.503 1.503 
0.267 1.731 1.731 
0.819 2.094 2.094 
0.366 1.056 1.056 
0.517 1.635 1.635 
0.651 0.945 0.945 
0.384 1.280 1.280 
0.718 1.518 1.518 
