<><><><><><><><> 
Begin: 04-Mar-2014 12:58:01 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s27 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.152 1.152 
0.350 0.839 0.839 
0.500 1.111 1.111 
0.250 1.222 1.222 
0.617 1.105 1.105 
0.467 0.838 0.838 
0.350 1.412 1.412 
0.367 1.459 1.459 
0.934 1.327 1.327 
0.751 1.312 1.312 
0.584 0.899 0.899 
0.934 1.365 1.365 
0.284 1.282 1.282 
0.801 1.105 1.105 
0.800 1.501 1.501 
0.651 1.808 1.808 
0.350 1.917 1.917 
0.684 1.190 1.190 
0.450 1.408 1.408 
0.317 1.230 1.230 
0.366 3.059 3.059 
0.918 2.177 2.177 
0.267 1.586 1.586 
0.401 1.327 1.327 
0.250 1.325 1.325 
0.551 1.414 1.414 
0.216 1.374 1.374 
0.917 1.475 1.475 
0.367 2.392 2.392 
0.283 1.753 1.753 
0.451 3.132 3.132 
0.568 1.373 1.373 
0.284 1.566 1.566 
1.002 2.282 2.282 
0.467 3.068 3.068 
0.434 1.304 1.304 
0.251 1.518 1.518 
0.434 1.413 1.413 
0.233 2.665 2.665 
0.600 3.488 3.488 
0.818 1.534 1.534 
0.700 2.577 2.577 
0.283 2.077 2.077 
0.267 2.196 2.196 
0.834 1.223 1.223 
0.934 1.195 1.195 
0.634 1.205 1.205 
0.283 1.337 1.337 
0.868 2.157 2.157 
0.467 1.393 1.393 
0.433 2.213 2.213 
0.801 1.474 1.474 
0.216 1.593 1.593 
0.250 1.681 1.681 
0.734 1.562 1.562 
0.684 1.401 1.401 
0.619 3.032 3.032 
0.784 1.248 1.248 
0.767 1.908 1.908 
0.834 1.829 1.829 
0.434 1.546 1.546 
0.750 2.515 2.515 
0.650 2.499 2.499 
0.517 1.035 1.035 
0.251 1.129 1.129 
0.834 2.143 2.143 
0.468 2.029 2.029 
0.684 1.163 1.163 
0.801 1.901 1.901 
0.284 1.259 1.259 
0.301 2.096 2.096 
0.651 1.390 1.390 
0.584 2.542 2.542 
0.917 3.421 3.421 
0.834 1.327 1.327 
0.785 1.579 1.579 
0.250 1.308 1.308 
0.267 1.773 1.773 
0.268 3.331 3.331 
0.833 1.852 1.852 
0.951 2.399 2.399 
0.751 1.757 1.757 
0.316 2.111 2.111 
0.785 2.267 2.267 
0.284 1.397 1.397 
0.300 1.672 1.672 
0.718 1.389 1.389 
0.467 2.056 2.056 
0.734 2.044 2.044 
0.802 3.653 3.653 
0.668 1.392 1.392 
0.800 2.742 2.742 
0.384 2.837 2.837 
0.783 1.315 1.315 
0.984 1.015 1.015 
0.901 1.279 1.279 
0.267 2.233 2.233 
0.501 3.163 3.163 
0.500 2.009 2.009 
0.750 1.475 1.475 
0.684 1.619 1.619 
0.834 1.515 1.515 
0.500 3.443 3.443 
0.367 2.442 2.442 
0.267 1.716 1.716 
0.818 1.483 1.483 
0.368 1.280 1.280 
0.517 2.338 2.338 
0.651 2.174 2.174 
0.384 1.201 1.201 
0.718 1.790 1.790 
