<><><><><><><><> 
Begin: 06-Feb-2014 17:58:25 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s11 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.636 1.636 
0.350 0.963 0.963 
0.484 1.181 1.181 
0.250 0.875 0.875 
0.617 1.597 1.597 
0.467 0.843 0.843 
0.350 0.853 0.853 
0.366 0.952 0.952 
0.934 1.227 1.227 
0.750 0.602 0.602 
0.584 0.647 0.647 
0.934 1.817 1.817 
0.285 1.095 1.095 
0.801 1.773 1.773 
0.783 1.181 1.181 
0.651 1.423 1.423 
0.350 1.214 1.214 
0.685 1.630 1.630 
0.451 1.159 1.159 
0.317 0.635 0.635 
0.366 1.160 1.160 
0.917 0.689 0.689 
0.267 1.018 1.018 
0.400 1.510 1.510 
0.250 0.820 0.820 
0.552 0.646 0.646 
0.217 1.630 1.630 
0.918 0.963 0.963 
0.366 0.788 0.788 
0.283 0.743 0.743 
0.452 0.745 0.745 
0.566 1.412 1.412 
0.284 0.711 0.711 
1.002 0.580 0.580 
0.467 1.192 1.192 
0.433 1.258 1.258 
0.251 0.996 0.996 
0.434 1.236 1.236 
0.234 2.244 2.244 
0.602 1.411 1.411 
0.817 1.269 1.269 
0.702 1.444 1.444 
0.267 1.160 1.160 
0.268 0.875 0.875 
0.819 1.553 1.553 
0.933 0.996 0.996 
0.634 0.788 0.788 
0.282 0.831 0.831 
0.867 0.908 0.908 
0.468 0.745 0.745 
0.433 0.985 0.985 
0.800 0.777 0.777 
0.216 1.083 1.083 
0.235 1.970 1.970 
0.734 1.290 1.290 
0.684 1.656 1.656 
0.618 1.414 1.414 
0.784 1.063 1.063 
0.767 1.390 1.390 
0.834 1.336 1.336 
0.434 0.964 0.964 
0.749 1.051 1.051 
0.650 1.063 1.063 
0.516 1.259 1.259 
0.250 1.139 1.139 
0.833 1.850 1.850 
0.467 1.226 1.226 
0.684 1.423 1.423 
0.801 2.167 2.167 
0.284 1.457 1.457 
0.300 1.007 1.007 
0.650 1.609 1.609 
0.584 0.974 0.974 
0.918 1.390 1.390 
0.850 1.138 1.138 
0.784 0.689 0.689 
0.250 2.855 2.855 
0.267 1.796 1.796 
0.268 1.172 1.172 
0.834 1.784 1.784 
0.952 0.941 0.941 
0.752 1.533 1.533 
0.301 1.115 1.115 
0.785 0.832 0.832 
0.284 0.810 0.810 
0.300 0.996 0.996 
0.718 0.985 0.985 
0.468 0.986 0.986 
0.734 1.794 1.794 
0.801 0.864 0.864 
0.668 1.214 1.214 
0.800 1.336 1.336 
0.385 0.919 0.919 
0.783 0.941 0.941 
0.984 1.269 1.269 
0.901 1.182 1.182 
0.268 0.908 0.908 
0.501 1.587 1.587 
0.501 1.051 1.051 
0.751 1.532 1.532 
0.684 1.160 1.160 
0.834 2.079 2.079 
0.501 1.357 1.357 
0.366 1.073 1.073 
0.267 0.909 0.909 
0.818 0.821 0.821 
0.367 1.193 1.193 
0.518 0.635 0.635 
0.651 0.799 0.799 
0.385 0.832 0.832 
0.718 1.684 1.684 
