<><><><><><><><> 
Begin: 13-Mar-2014 16:21:26 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s38 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.968 1.968 
0.349 0.782 0.782 
0.485 1.251 1.251 
0.251 1.345 1.345 
0.618 3.995 4.842 
0.467 3.042 3.042 
0.350 2.671 2.671 
0.368 2.027 2.027 
0.934 3.988 4.134 
0.750 1.799 1.799 
0.583 1.234 1.234 
0.934 3.259 3.259 
0.284 2.428 2.428 
0.801 1.931 1.931 
0.800 2.094 2.094 
0.651 2.908 2.908 
0.350 2.256 2.256 
0.684 2.731 2.731 
0.450 1.076 1.076 
0.317 3.718 3.718 
0.368 2.698 2.698 
0.918 1.006 1.006 
0.267 1.793 1.793 
0.400 3.991 4.424 
0.250 1.393 1.393 
0.551 1.255 1.255 
0.218 3.001 3.001 
0.917 2.143 2.143 
0.367 1.056 1.056 
0.283 2.355 2.355 
0.451 2.009 2.009 
0.567 0.880 0.880 
0.283 2.277 2.277 
1.001 1.115 1.115 
0.467 1.429 1.429 
0.434 2.830 2.830 
0.250 2.479 2.479 
0.449 1.307 1.307 
0.233 2.232 2.232 
0.601 3.396 3.396 
0.818 2.757 2.757 
0.701 4.000 4.412 
0.283 3.981 4.338 
0.267 1.357 1.357 
0.818 2.990 2.990 
0.934 1.428 1.428 
0.635 3.243 3.243 
0.283 1.508 1.508 
0.868 1.501 1.501 
0.468 1.415 1.415 
0.434 0.911 0.911 
0.801 0.758 0.758 
0.217 2.134 2.134 
0.250 2.019 2.019 
0.735 1.447 1.447 
0.684 0.889 0.889 
0.617 2.322 2.322 
0.785 2.154 2.154 
0.767 1.736 1.736 
0.834 1.579 1.579 
0.434 1.304 1.304 
0.751 1.017 1.017 
0.651 0.696 0.696 
0.518 1.523 1.523 
0.250 2.306 2.306 
0.834 2.309 2.309 
0.468 1.417 1.417 
0.685 1.773 1.773 
0.801 2.024 2.024 
0.284 0.953 0.953 
0.301 2.165 2.165 
0.650 2.091 2.091 
0.584 1.825 1.825 
0.918 2.241 2.241 
0.835 1.507 1.507 
0.785 0.908 0.908 
0.250 0.801 0.801 
0.267 1.733 1.733 
0.268 0.915 0.915 
0.850 1.093 1.093 
0.951 1.006 1.006 
0.751 2.166 2.166 
0.317 1.189 1.189 
0.785 2.678 2.678 
0.300 2.436 2.436 
0.301 1.967 1.967 
0.718 2.811 2.811 
0.467 0.770 0.770 
0.733 3.375 3.375 
0.801 0.951 0.951 
0.668 0.837 0.837 
0.801 1.813 1.813 
0.383 1.082 1.082 
0.784 0.887 0.887 
0.984 0.950 0.950 
0.902 0.888 0.888 
0.267 0.787 0.787 
0.500 2.219 2.219 
0.501 0.886 0.886 
0.751 0.805 0.805 
0.685 1.420 1.420 
0.833 1.463 1.463 
0.501 1.021 1.021 
0.367 1.142 1.142 
0.267 0.585 0.585 
0.818 0.565 0.565 
0.367 1.009 1.009 
0.517 0.922 0.922 
0.651 1.382 1.382 
0.384 1.637 1.637 
0.717 1.844 1.844 
