<><><><><><><><> 
Begin: 13-Mar-2014 16:32:12 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s38 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.697 2.697 
0.351 0.817 0.817 
0.500 1.358 1.358 
0.250 1.764 1.764 
0.617 1.059 1.059 
0.467 2.265 2.265 
0.350 1.456 1.456 
0.368 0.627 0.627 
0.934 1.101 1.101 
0.735 2.943 2.943 
0.583 2.365 2.365 
0.934 0.971 0.971 
0.283 1.513 1.513 
0.801 0.823 0.823 
0.800 1.621 1.621 
0.651 2.000 2.000 
0.351 3.989 4.315 
0.684 1.726 1.726 
0.450 1.119 1.119 
0.316 3.993 4.424 
0.367 4.002 4.767 
0.917 3.688 3.688 
0.267 1.075 1.075 
0.401 0.178 0.178 
0.250 2.589 2.589 
0.550 2.867 2.867 
0.216 1.141 1.141 
0.917 2.100 2.100 
0.367 2.213 2.213 
0.283 3.993 4.041 
0.450 0.941 0.941 
0.567 0.992 0.992 
0.284 0.829 0.829 
1.001 2.615 2.615 
0.467 1.910 1.910 
0.433 1.991 1.991 
0.250 2.137 2.137 
0.450 1.129 1.129 
0.233 1.389 1.389 
0.601 1.625 1.625 
0.818 2.503 2.503 
0.701 1.595 1.595 
0.283 1.594 1.594 
0.267 2.226 2.226 
0.818 1.982 1.982 
0.934 2.059 2.059 
0.633 2.213 2.213 
0.283 1.584 1.584 
0.868 1.232 1.232 
0.468 2.203 2.203 
0.434 1.242 1.242 
0.801 0.967 0.967 
0.217 2.418 2.418 
0.250 2.167 2.167 
0.734 1.190 1.190 
0.684 1.125 1.125 
0.617 1.352 1.352 
0.784 2.508 2.508 
0.768 3.212 3.212 
0.834 1.446 1.446 
0.433 2.061 2.061 
0.750 1.231 1.231 
0.652 0.072 0.072 
0.518 3.999 4.220 
0.251 0.984 0.984 
0.834 1.686 1.686 
0.468 1.604 1.604 
0.684 1.221 1.221 
0.800 2.203 2.203 
0.284 2.098 2.098 
0.301 1.725 1.725 
0.650 3.114 3.114 
0.583 1.401 1.401 
0.918 1.139 1.139 
0.834 2.002 2.002 
0.784 1.586 1.586 
0.250 1.694 1.694 
0.266 2.420 2.420 
0.268 1.651 1.651 
0.835 1.062 1.062 
0.951 2.643 2.643 
0.750 0.873 0.873 
0.316 1.661 1.661 
0.784 1.790 1.790 
0.300 2.382 2.382 
0.301 3.252 3.252 
0.717 1.952 1.952 
0.467 3.125 3.125 
0.734 1.261 1.261 
0.801 2.290 2.290 
0.667 0.899 0.899 
0.801 1.344 1.344 
0.383 3.005 3.005 
0.784 1.679 1.679 
0.984 2.118 2.118 
0.902 1.536 1.536 
0.267 1.078 1.078 
0.501 0.841 0.841 
0.500 1.043 1.043 
0.751 1.769 1.769 
0.685 1.134 1.134 
0.834 1.393 1.393 
0.500 3.886 3.886 
0.367 1.838 1.838 
0.266 1.151 1.151 
0.818 3.671 3.671 
0.368 1.400 1.400 
0.518 1.483 1.483 
0.651 3.988 4.364 
0.383 1.166 1.166 
0.717 1.101 1.101 
