<><><><><><><><> 
Begin: 27-Feb-2014 10:55:14 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s22 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.029 1.029 
0.350 1.092 1.092 
0.500 0.721 0.721 
0.251 0.644 0.644 
0.617 0.576 0.576 
0.467 0.683 0.683 
0.350 0.664 0.664 
0.368 1.013 1.013 
0.934 0.506 0.506 
0.751 0.753 0.753 
0.584 0.675 0.675 
0.934 0.635 0.635 
0.283 0.811 0.811 
0.801 0.753 0.753 
0.800 1.428 1.428 
0.651 0.778 0.778 
0.350 2.242 2.242 
0.685 1.668 1.668 
0.450 0.804 0.804 
0.317 2.804 2.804 
0.368 1.245 1.245 
0.917 0.897 0.897 
0.267 1.164 1.164 
0.400 0.734 0.734 
0.251 0.687 0.687 
0.551 1.115 1.115 
0.218 1.332 1.332 
0.918 0.654 0.654 
0.366 1.166 1.166 
0.283 1.654 1.654 
0.451 0.900 0.900 
0.567 1.500 1.500 
0.283 1.257 1.257 
1.002 1.698 1.698 
0.467 1.531 1.531 
0.449 0.701 0.701 
0.251 0.728 0.728 
0.450 0.897 0.897 
0.234 0.829 0.829 
0.600 0.657 0.657 
0.817 0.802 0.802 
0.701 1.390 1.390 
0.283 1.087 1.087 
0.266 0.549 0.549 
0.818 1.030 1.030 
0.934 1.028 1.028 
0.634 0.719 0.719 
0.284 1.125 1.125 
0.868 3.988 5.992 
0.468 1.330 1.330 
0.434 0.882 0.882 
0.801 1.151 1.151 
0.217 0.849 0.849 
0.250 0.624 0.624 
0.734 0.673 0.673 
0.684 0.766 0.766 
0.617 0.824 0.824 
0.784 1.142 1.142 
0.768 1.379 1.379 
0.834 0.897 0.897 
0.434 0.957 0.957 
0.752 0.650 0.650 
0.651 1.009 1.009 
0.517 0.755 0.755 
0.251 0.949 0.949 
0.834 1.065 1.065 
0.468 0.655 0.655 
0.684 0.897 0.897 
0.800 0.920 0.920 
0.284 1.425 1.425 
0.301 0.766 0.766 
0.650 0.730 0.730 
0.600 0.709 0.709 
0.918 1.299 1.299 
0.851 0.680 0.680 
0.783 0.973 0.973 
0.250 0.601 0.601 
0.267 0.727 0.727 
0.267 0.812 0.812 
0.835 0.829 0.829 
0.951 0.526 0.526 
0.751 0.723 0.723 
0.317 0.940 0.940 
0.784 0.493 0.493 
0.284 0.850 0.850 
0.300 1.714 1.714 
0.718 0.943 0.943 
0.467 0.693 0.693 
0.734 0.635 0.635 
0.801 0.693 0.693 
0.668 1.149 1.149 
0.800 0.922 0.922 
0.384 0.755 0.755 
0.784 0.971 0.971 
0.984 1.089 1.089 
0.901 0.623 0.623 
0.267 1.731 1.731 
0.501 2.357 2.357 
0.501 1.290 1.290 
0.751 1.007 1.007 
0.684 1.072 1.072 
0.835 0.620 0.620 
0.501 1.395 1.395 
0.366 1.492 1.492 
0.267 1.033 1.033 
0.817 1.698 1.698 
0.366 1.019 1.019 
0.517 0.701 0.701 
0.650 0.732 0.732 
0.384 1.087 1.087 
0.718 1.714 1.714 
