<><><><><><><><> 
Begin: 27-Feb-2014 10:48:08 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s22 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.243 1.243 
0.349 1.340 1.340 
0.484 1.044 1.044 
0.250 1.041 1.041 
0.617 1.153 1.153 
0.467 0.701 0.701 
0.350 0.813 0.813 
0.367 1.537 1.537 
0.933 0.610 0.610 
0.750 0.780 0.780 
0.583 1.366 1.366 
0.934 0.697 0.697 
0.284 1.206 1.206 
0.801 1.104 1.104 
0.801 1.198 1.198 
0.651 1.128 1.128 
0.350 0.949 0.949 
0.685 0.806 0.806 
0.450 1.392 1.392 
0.316 1.138 1.138 
0.367 0.748 0.748 
0.918 0.617 0.617 
0.267 1.079 1.079 
0.401 1.263 1.263 
0.250 0.830 0.830 
0.550 1.515 1.515 
0.217 1.033 1.033 
0.918 0.934 0.934 
0.367 1.146 1.146 
0.284 0.714 0.714 
0.449 0.806 0.806 
0.567 1.063 1.063 
0.284 2.455 2.455 
1.001 0.751 0.751 
0.467 1.686 1.686 
0.434 0.989 0.989 
0.251 1.121 1.121 
0.450 1.041 1.041 
0.234 1.439 1.439 
0.601 0.909 0.909 
0.818 0.832 0.832 
0.701 1.785 1.785 
0.268 1.413 1.413 
0.266 0.774 0.774 
0.834 0.661 0.661 
0.934 1.139 1.139 
0.634 0.901 0.901 
0.283 0.650 0.650 
0.868 0.876 0.876 
0.467 2.720 2.720 
0.434 1.441 1.441 
0.801 0.849 0.849 
0.217 0.733 0.733 
0.250 0.868 0.868 
0.734 0.862 0.862 
0.685 1.509 1.509 
0.617 0.889 0.889 
0.785 1.185 1.185 
0.767 1.115 1.115 
0.834 0.983 0.983 
0.435 1.090 1.090 
0.750 1.250 1.250 
0.650 1.608 1.608 
0.517 1.357 1.357 
0.251 1.065 1.065 
0.834 0.601 0.601 
0.468 0.650 0.650 
0.684 1.272 1.272 
0.801 0.965 0.965 
0.284 1.187 1.187 
0.301 0.889 0.889 
0.651 1.259 1.259 
0.584 1.037 1.037 
0.917 0.780 0.780 
0.850 0.765 0.765 
0.784 0.684 0.684 
0.250 1.085 1.085 
0.266 1.948 1.948 
0.266 1.083 1.083 
0.835 1.152 1.152 
0.952 0.705 0.705 
0.751 0.666 0.666 
0.317 0.718 0.718 
0.785 0.823 0.823 
0.283 0.705 0.705 
0.300 1.164 1.164 
0.717 0.625 0.625 
0.468 0.934 0.934 
0.734 0.560 0.560 
0.801 0.792 0.792 
0.667 0.683 0.683 
0.801 0.587 0.587 
0.384 0.491 0.491 
0.784 0.757 0.757 
0.985 1.086 1.086 
0.902 0.660 0.660 
0.267 1.188 1.188 
0.501 0.851 0.851 
0.501 0.777 0.777 
0.750 0.732 0.732 
0.685 0.728 0.728 
0.835 0.587 0.587 
0.502 0.592 0.592 
0.368 0.975 0.975 
0.267 0.755 0.755 
0.817 0.658 0.658 
0.367 1.118 1.118 
0.517 1.891 1.891 
0.650 1.287 1.287 
0.384 0.730 0.730 
0.717 0.755 0.755 
